HOLDING_ID	CURRENCY_SOLD_AMOUNT	DESC_CURRENCY_SOLD	CURRENCY_PURCHASED_AMOUNT	DESC_CURRENCY_PURCHASED	SETTLEMENT_DATE	UNREALIZED_APPRECIATION
161041517	658724.64	USD	560000	EUR	17-DEC-2025	-11665.82
161041623	3370085.91	USD	2518000	GBP	17-DEC-2025	-62008.96
161101269	9298000	GBP	12272662.65	USD	07-JAN-2026	57465.98
161041573	833000	GBP	1123463.18	USD	17-DEC-2025	29091.42
161101285	81672326.67	USD	12428813000	JPY	05-NOV-2025	-1015171.84
161101390	14822388000	JPY	101460661.24	USD	07-JAN-2026	4636657.73
161101356	246110000	EUR	284653287.1	USD	03-DEC-2025	509757.94
161101329	14776821000	JPY	98188314.94	USD	04-MAR-2026	1167491.12
161041579	1090000	EUR	1276416.38	USD	17-DEC-2025	16962.6
161041513	5961509	EUR	7025987.1	USD	17-DEC-2025	137688.91
161101278	314419000	EUR	367955437.55	USD	04-MAR-2026	3169972.52
161101376	48528000	GBP	65229396.48	USD	07-JAN-2026	1476001.76
161101271	74148000	EUR	87464980.8	USD	05-NOV-2025	1992790.97
161041551	1054715.86	EUR	980000	CHF	17-DEC-2025	5276.25
161041631	1088883.9	USD	1522000	CAD	17-DEC-2025	-1261.45
161041557	1117680.21	EUR	12337000	SEK	17-DEC-2025	10515.46
161101315	184588000	EUR	215751069.1	USD	05-NOV-2025	2972024.8
159423669	130997000	MXN	6899771.93	USD	17-DEC-2025	-195571.51
159422284	277951682.19	PEN	78887348.07	USD	17-DEC-2025	-1011714.02
159439482	500000000000	IDR	29804482.59	USD	17-OCT-2025	-161978.95
159447357	500000000000	IDR	29945499.19	USD	15-OCT-2025	-22902.13
159431823	1270360049.95	CAD	918535308	USD	02-OCT-2025	5679655.72
159442941	500000000000	IDR	30507337.01	USD	17-OCT-2025	540875.47
159433474	218773200	PEN	62000000	USD	26-MAR-2026	-709059.72
159429170	500000000000	IDR	29804482.59	USD	17-OCT-2025	-161978.95
159438639	132957.25	USD	5590175.61	TRY	03-OCT-2025	1394.87
159427317	90004441.23	GBP	121492945.02	USD	02-OCT-2025	446019.82
159435863	20376098.74	USD	1808784247.54	INR	08-OCT-2025	-18451.28
159438180	255405935.88	PEN	72517301.5	USD	18-MAR-2026	-709680.42
