ACCESSION_NUMBER	INTEREST_RATE_RISK_ID	CURRENCY_CODE	INTRST_RATE_CHANGE_3MON_DV01	INTRST_RATE_CHANGE_1YR_DV01	INTRST_RATE_CHANGE_5YR_DV01	INTRST_RATE_CHANGE_10YR_DV01	INTRST_RATE_CHANGE_30YR_DV01	INTRST_RATE_CHANGE_3MON_DV100	INTRST_RATE_CHANGE_1YR_DV100	INTRST_RATE_CHANGE_5YR_DV100	INTRST_RATE_CHANGE_10YR_DV100	INTRST_RATE_CHANGE_30YR_DV100
0002071691-25-007667	324884	INR	-2083.66	-8917.06	163890.87	12238.54	36436.96	-221398.74	-778579.98	16636026.58	1218908.89	3689448.96
0001532203-25-000066	328845	EUR	169846.51909698	-3804641.47319914	-12339165.64249734	-14981660.28478508	-7005489.52909277	16880295.39993714	-377380758.6668761	-1212075386.64829	-1437393577.622799	-640885951.5005814
0001532203-25-000066	328858	PLN	1358.35586139	-59159.92944883	-173646.39298222	-73143.80867262	-4044.69263208	135136.08864002	-5863429.28838377	-17021192.5778826	-7121075.69741323	-382753.15375587
0001532203-25-000066	328847	HKD	12.75189446	-1461.95272801	-6604.01125565	-5511.57289375	0	1272.92286979	-145102.86806337	-649298.4330602	-535730.77969638	0
0001532203-25-000066	328851	JPY	40296.74642166	-488540.71463103	-1638627.26026191	-5637337.78142112	-4369704.10311895	4018445.45515854	-48473792.22982445	-160910654.5202572	-537995596.0272037	-398595568.5906529
0001532203-25-000066	328860	SEK	3734.61511876	-86230.60098774	-199541.34508198	-54046.42410553	-26803.17562887	372469.218235	-8543878.04198808	-19551154.403245	-5235415.0282247	-2203583.05507448
0001532203-25-000066	328852	KRW	18766.97955438	-162872.17381427	-387380.48033637	-916172.49171381	-1364412.61516644	1871234.42758931	-16155833.62453673	-38030828.05090965	-87757313.17844151	-122542239.7679963
0001099263-25-004419	325105	GBP	389.288481	305773.429141	455718.416425	546781.670859	118345.432229	38351.433792	29933908.391898	44174712.801815	50297254.915927	10477980.270944
0001099263-25-004419	325099	JPY	-1888.653684	114423.650066	73776.724655	1375333.147629	847583.809113	-187448.608448	11279153.58818	7135639.081598	125848050.163577	74236630.972149
0001099263-25-004485	325969	USD	85149.286827	20266223.174136	55078662.355888	13433432.143506	-590854.724471	27054569.29842	2559566847.866037	5989722879.891938	1237054050.085923	-49678154.444257
0001099263-25-004485	325962	TRY	3172.685126	1639.8507	142.595738	0	0	317687.579368	161978.575572	14085.096038	0	0
0000106444-25-000235	328835	USD	4090.68713754	-925101.37486822	-11706598.44519768	-10068513.00734934	-77711.36877894	53050.86727122	-91605127.16068052	-1150574662.09114	-988737101.476524	-7867431.02907284
0001532203-25-000068	328931	NZD	304.60182057	-33431.38596563	-97018.61052526	-123121.31282556	-26148.09577655	30404.13021505	-3316206.1626724	-9524107.89879874	-11818320.69279776	-2418617.45600524
0001532203-25-000068	328915	CHF	1693.16549486	-84350.11186317	-361302.35816784	-695284.09393632	-323923.16040353	168480.27426861	-8366494.36746197	-35347615.755134	-66198039.8570136	-29659304.00908173
0001532203-25-000068	328937	THB	7292.89105313	-59819.37505164	-161447.63852038	-502945.9671319	-456071.2893208	727180.15975171	-5932851.49993595	-15848365.42597365	-47982735.63422086	-40457404.64465728
0001099263-25-004413	325156	JPY	0	0	-296293.674938	386932.149654	540335.225828	0	0	-28512585.87162	33154854.694241	46839752.155457
0001099263-25-004476	325472	PEN	0	313.438743	105390.133172	46408.794111	12.524551	0	30420.010889	10135645.020683	4446460.570954	1168.573156
0001099263-25-004484	325747	CAD	2749.81042	662.287775	181.367515	0	0	274317.525758	66215.057931	18136.751487	0	0
0001193125-25-334136	329607	JPY	-1810.76	-24252.94	106689.4	-310499.8	-299839.22	-181419.17	-2409537.4	10420214.94	-29298879.08	-27908211.55
0000106444-25-000232	328821	JPY	-1333.48939748	47627.29227567	47711.01727889	20556.4855099	0	-132952.45472387	4709897.08673704	4703213.80079673	2022885.02838946	0
0000940400-25-014474	328941	USD	161841.22167	2832404.74423	8953254.40676	12778837.10591	6412439.98941	16184122.12507	283240474.41952	895325440.64735	1277883710.58578	641243998.92643
0000913181-25-000365	327051	GBP	440.0491928	2254.0594675	1811.1456598	.6638233	0	44004.9192818	225405.9467516	181114.5659758	66.3823349	0
0001003715-25-001337	323003	UYU	0	1184.381643	3075.998914	2494.198282	0	0	118249.729569	310091.534065	252123.942563	0
0001099263-25-003601	323591	USD	0	0	0	0	0	0	0	0	0	0
0001410368-25-022019	321291	AUD	-4333.63	1701.24	-7348.39	-17841.04	-13503.65	-433761.14	166965.92	-735505.69	-1688851.04	-1340342.27
0001410368-25-017888	319533	USD	58242.43	5679022.98	28955562.55	21236652.72	19831694.07	4469108	567928443.81	2896753180.13	2122874660.07	1991155891.01
0002071691-25-007650	324677	CAD	0	0	0	0	0	0	0	0	0	0
0000794105-25-000137	323116	USD	-38800.85267196	-835429.11846302	-15650866.4363396	-12053468.63617081	-8472.24097278	-3893717.00605923	-82970275.22073439	-1532253441.938258	-1176218172.217988	-836498.91128514
0000940400-25-010634	323561	EUR	-5899.06	1589.53	57292.32	58612.11	21037.17	-1730666.94	591817.39	10951391.93	9245627.71	3589001.51
0001193125-25-295368	322884	USD	0	-290.323664463203	3535.732927598794	11106.846723548727	169.418060493494	0	-29032.36644632023	353573.29275987934	1110684.672354872682	16941.806049349421
0000105563-25-000099	320269	USD	-40977.14631397	-2428479.67855566	-6438131.02899381	-9108250.75444677	-5975049.53178898	-4721048.45983737	-241246650.1153603	-632753347.0545578	-875301455.7440412	-550788298.2749699
0002071691-25-007667	324885	JPY	-39631.36	-90960.54	-335562.92	54202.16	333591.2	-3697916.14	-9183578.53	-17213691.07	7942343.33	33591527.96
0002071691-25-007667	324888	LKR	0	0	0	0	0	0	0	0	0	0
0002071691-25-007667	324873	COP	-2945.93	15161.78	-1848.69	0	0	-285734.83	1528264.07	-211483.07	0	0
0002071691-25-007667	324872	CNY	6465.9	7873.79	-112140.67	10423.02	0	646620.12	787379.87	-11208087.8	1037019.7	0
0002071691-25-007667	324898	SEK	2098.49	-842.1	-68022.28	0	0	206940.65	-86410.49	-6800408.94	0	0
0000910472-25-005072	326905	USD	253028.78634	-24764.884198	12606.18	0	0	26520052.685541	-2485907.037978	1260676.31	0	0
0001532203-25-000066	328856	NZD	227.31580127	-28582.79706544	-86890.45396914	-102856.04603487	-27694.89586311	22693.82684867	-2835911.3667399	-8527988.75996081	-9876840.31415075	-2547917.20898056
0001532203-25-000066	328857	PEN	639.61271108	-6880.26357677	-42777.21859422	-76225.04062319	-8600.74143736	63577.14599075	-682677.51176708	-4194291.73638748	-7313794.07617779	-828702.71128917
0001532203-25-000066	328839	CAD	409.44330198	-378288.31212896	-1238628.27980246	-1777002.72792904	-1443202.61966776	40836.24990237	-37558504.3999302	-121636303.3456278	-170767240.4639007	-130829328.9141801
0001532203-25-000066	328861	SGD	331.59733734	-35851.90812205	-93929.81497081	-172732.93737067	-171785.35196331	33117.89205209	-3557861.60422072	-9219425.87715077	-16509617.4857156	-15336127.17375529
0001099263-25-004419	325098	KRW	0	38758.552476	89613.595548	178609.071141	0	0	3815513.723009	8624371.156742	16899036.053976	0
0001099263-25-004419	325106	DKK	9015.508068	3377.298983	0	17838.216809	488.384776	897632.872147	336058.321531	0	1703415.281919	46635.861289
0001099263-25-004419	325102	NGN	1205.4464	1829.187325	0	0	0	119826.410917	181817.413446	0	0	0
0001099263-25-004485	325968	PEN	0	6168.267135	996342.987094	417465.461839	115.504196	0	598645.69233	96127432.503159	39648461.11666	10776.841258
0001532203-25-000068	328929	MYR	7244.37758891	-66498.70003668	-230791.47000789	-447585.99851683	-240756.34135631	722370.10827781	-6595665.58131399	-22632489.40568223	-42789471.84997667	-22335655.38002159
0001532203-25-000068	328935	SEK	4541.49507671	-111805.46498639	-223345.42828502	-54239.85131521	-32879.68679512	452947.71048415	-11077891.42994919	-21902055.69308982	-5262408.42212068	-2703154.3456317
0001532203-25-000068	328920	EUR	201600.8347027	-4480680.92716708	-14643995.08358268	-17905560.53600287	-8322481.65738395	20034508.15283919	-444408122.7535828	-1438372397.720224	-1717554274.819774	-762175296.9864984
0001532203-25-000068	328921	GBP	1279.84419393	-600726.39795307	-1737671.82873533	-3312353.76820849	-2289519.83055489	217463.73625763	-59619971.0977889	-170768991.3119014	-317071816.4813082	-206829327.0493241
0001099263-25-004413	325164	CAD	3.296141	97.905229	78579.561172	197285.698023	0	327.658809	9560.882314	7365938.213054	18809448.830895	0
0001099263-25-004413	325155	RON	-1403.911416	0	0	0	0	-140227.002191	0	0	0	0
0001099263-25-004413	325158	EUR	33897.115954	142988.813907	157197.322646	132033.612794	-340352.964946	22539166.444541	14190572.597791	29810297.658588	32932595.412851	-29343354.1678
0001099263-25-004476	325467	GBP	333.6706	59386.586958	347844.584413	163336.481936	47981.855095	33155.7837	5786278.863065	33756218.026071	14681583.745681	4254305.434357
0001099263-25-004484	325755	TRY	204.924638	142.237743	12.368502	0	0	20519.541901	14049.734484	1221.71626	0	0
0001099263-25-004484	325752	PEN	0	318.9784	60178.432055	28488.546599	0	0	30957.648425	5797219.341203	2704966.280954	0
0000106444-25-000232	328818	AUD	-326.26381713	-3136.60025055	1604.74683369	-633.93539701	0	-32605.89426751	-311249.72044616	146695.5593012	-71847.96793663	0
0000225997-25-000213	328896	USD	-118949.90249507	-1932693.92640953	-6620015.264443	-15293402.95998044	-6582484.99030426	-12037209.19938622	-195944903.0761001	-682319952.7902726	-1555866974.983449	-668113343.5329204
0001410368-25-017836	319517	USD	33453.46	385145.38	8677083.37	7015443.34	7959667.89	3002584.79	38521875.5	867869864.84	701352015.86	795702443.84
0001193125-25-293287	322367	PLN	-22895.892868	100652.9443359	32805.019531	0	0	-2277984.3125	9986812.75	3273081.2499998	0	0
0001193125-25-293287	322366	USD	-796995.1285225	-3634249.2010735	-2767106.9143348	-2902837.9156752	-2601086.1515659	-55016486.6349601	-363084415.386023	-282822165.124058	-300236915.085282	-243042315.760832
0001193125-25-293287	322368	NOK	1281.6287918	-20194.9161415	-118711.7486572	0	0	128591.2841797	-2012401.2392578	-11643218.78125	0	0
0002071691-25-003731	320211	USD	504462.82	188.29	-32.24	0	0	0	0	0	0	0
0001003715-25-001337	322997	EUR	226876.927998	12588.577734	100421.335703	156003.978507	23420.634973	23020219.270938	1265402.441381	10119632.520463	15846997.503038	2409407.24769
0001003715-25-001337	322995	AUD	228863.422732	980.496068	14251.958339	67262.018745	7281.70852	22886342.273174	98227.832329	1435971.023763	6870319.693911	744421.347666
0001003715-25-001337	322998	GBP	855853.546993	2380.01247	6737.456174	7108.588778	345.973904	87992772.097588	218000.314756	662345.723539	730319.318074	36113.762617
0002071691-25-003738	320224	USD	94455.3	1148922.05	7180824.84	11316677.95	7976976.57	9412223.36	114730591.74	718196994.51	1131700717.16	797770062.23
0001021882-25-000208	320268	USD	-51221.25394137	-5138915.40621881	-6868557.98761976	-9896.85583672	595.42037548	-5260835.89142321	-512142812.2226998	-682513014.587508	-1343419.21127766	-61488.55622475
0002071691-25-007650	324681	SEK	0	0	0	0	0	0	0	0	0	0
0001021882-25-000204	320260	USD	-28372.64996178	-2208947.33461261	-12159463.91467046	-4805769.22404685	0	-2824502.96697676	-219220710.920904	-1189961799.089816	-467511766.6766501	0
0001193125-25-295368	322883	GBP	0	0	0	0	0	0	0	0	0	0
0001099263-25-003615	323853	USD	-869.667395	-631179.121107	-5376096.875793	-640259.276819	-189492.208895	-86853.795658	-69410326.002423	-529991114.97481	-61409676.466519	-18579342.769774
0002071691-25-007667	324871	CNY	-64.86	141.77	5129.04	2039.51	0	0	0	0	0	0
0002071691-25-007667	324878	EUR	-353589.15	-182363.08	2948337.54	347563.22	187141.57	-39860085.23	2380731.61	302375253.89	55725882.66	48583236.93
0002071691-25-007667	324900	THB	1590.01	-24625.43	-29679.4	120074.95	1513.31	152738.07	-2456065.92	-3006227.18	12061626.09	153428.52
0002071691-25-007667	324883	ILS	0	0	0	0	0	0	0	0	0	0
0000035402-25-001445	320446	USD	77372.03593178	1136527.91396768	6859497.64429653	7126487.34245889	6756476.44741917	7737212.74455425	113652794.808252	685949762.482462	712648742.844337	675647635.749212
0000910472-25-005072	326900	AUD	-209042.582202	0	0	0	0	-20904224.782665	0	0	0	0
0000910472-25-005072	326904	JPY	52607.861171	0	0	0	0	5310907.348545	0	0	0	0
0001532203-25-000066	328838	AUD	1574.05116188	-216531.10165518	-838412.18988699	-841523.77153035	-120233.46573063	157168.17782529	-21484028.52597309	-82227597.08388816	-81001510.44015801	-11232012.43300872
0001099263-25-004419	325096	MYR	0	28640.211989	42785.862822	5435.212224	0	0	2824748.890431	4170619.130534	525023.320595	0
0001099263-25-004485	325958	EUR	73978.030155	1957704.595677	1607226.675704	-1714471.44913	-2702480.678003	6993280.934638	208623841.336544	176125404.158307	-154232812.580581	-235825668.551257
0001099263-25-004485	325970	MXN	12595.351979	176356.225615	496201.60171	61783.326084	0	1256472.858199	17319197.24843	48265651.035171	5969568.731998	0
0001099263-25-004485	325965	CAD	40315.504473	85094.899357	38494.516367	-155933.663636	-136651.336279	4022081.033126	8412479.436874	3745501.910696	-13799678.42474	-12230652.036549
0001532203-25-000068	328938	USD	-875747.37554143	.00000001	.00000001	.00000001	.00000001	-87335115.48402683	.00000001	.00000001	.00000001	.00000001
0001532203-25-000068	328919	DKK	680.73438511	-48278.18495975	-139781.18808834	-121267.82554593	-29460.94081517	67744.30199116	-4783139.83147513	-13702001.03826788	-11685011.8296875	-2766252.4626495
0001532203-25-000068	328922	HKD	16.02599971	-1627.87540437	-6015.98531669	-17701.55514977	-96.23358028	1600.27201123	-161580.53074132	-591367.09190151	-1689829.41390437	-9591.5685308
0001410368-25-043401	329804	USD	79537.85	6847.03	-68773.96	0	0	170612.81	-285756.31	0	0	0
0001099263-25-004413	325166	AUD	14.075411	1024.658103	358353.727225	287815.378942	0	1405.561781	96666.662638	34221587.838626	27450767.114836	0
0001099263-25-004413	325161	NGN	1212.18201	1836.611125	0	0	0	120492.467658	182559.260562	0	0	0
0001099263-25-004413	325157	MXN	0	4225.790419	10287.36191	59.005853	0	0	413375.282231	1006174.651176	5632.889208	0
0001099263-25-004413	325163	GBP	1099.747304	98362.829346	147623.531982	418581.169568	71599.541961	358936.755369	9756081.657109	14275156.137394	38529347.685693	6305482.276507
0001099263-25-004476	325470	EUR	6131.888152	40471.811869	294132.739759	-159391.013542	-195451.464625	11394190.257438	3952650.881321	32798025.035503	-8108492.23095	-16847041.340659
0001099263-25-004476	325471	MXN	0	1027.677354	5790.009296	1104.479436	0	0	100899.479456	560525.113537	106075.026454	0
0001099263-25-004476	325468	JPY	0	0	81042.798761	47189.483951	0	0	0	7784576.999673	4532792.265468	0
0001099263-25-004484	325748	EUR	2443.377041	9414.578331	280110.417642	-184678.581332	-104328.104309	242739.60256	2273776.550707	28616720.865133	-16730009.385722	-9007461.496304
0001099263-25-004484	325753	AUD	479.333752	8550.809142	157733.45993	162690.161546	0	47559.611926	841562.04896	15052035.450655	15504662.902878	0
0001099263-25-004484	325746	EGP	0	4406.705132	1016.931954	0	0	0	435410.556253	100479.359135	0	0
0001193125-25-334136	329606	USD	-6036.54	-511406.75	-841788.88	-884474.24	-624810.51	-629878.42	-51263013.29	-84765118.49	-91376384.49	-57963540.58
0000106444-25-000232	328822	USD	-443.36144839	-5954697.15083832	-7968468.27658451	-155837.82726036	18895.43430541	-985411.00698907	-589409883.392725	-789879259.2047039	-22496779.962739	-1214712.38975005
0001193125-25-293300	322363	BRL	171.2967453	436.8389893	-6622.7148438	-243.4625244	0	17089.0742188	43502.578125	-649397.40625	-24313.6796875	0
0000035402-25-001478	320461	USD	48154.7142072	1011906.96818679	3232018.59622	4331663.54193096	4078292.50218887	4815473.96221485	101190699.813391	323201854.176218	433166361.544524	407829242.629276
0001193125-25-293559	322758	USD	40912.6366134	-766345.4925598	-1703614.6414865	-1582990.4896746	-795847.7520117	4043442.0743332	-77102647.8101572	-171239867.629082	-162315070.312121	-75221979.5050722
0001410368-25-017902	319531	USD	-38712.57	1511396.64	7649837.57	9265286.25	4334387.79	-4776990.11	150893284.82	764977328.9	926524146.3	433437373.47
0001193125-25-293287	322372	CZK	22978.4243164	-101401.8969727	-33161.3568115	0	0	2286216.4570313	-10061019.625	-3308634.34375	0	0
0001003715-25-001337	323001	TRY	779.520304	992.750796	0	0	0	76124.503227	96959.723694	0	0	0
0000035402-25-001486	320477	USD	85871.57889775	1577330.96005427	7246503.7153007	8969691.63076428	6947131.2407508	8587150.81106019	157733096.197304	724650370.122917	896969171.917964	694713118.94518
0002071691-25-007667	324868	CAD	-1910.54	-714.99	86046.36	27573.48	0	-181786.19	-71276.22	8088975.66	3953434.16	0
0002071691-25-007667	324869	CHF	-47.4	1154.91	0	0	0	-3778.45	242825.79	0	0	0
0002071691-25-007667	324892	NOK	1516.62	0	0	0	0	0	0	0	0	0
0000035402-25-001416	320421	USD	50572.13601668	1628410.23413022	4371140.09663959	6141085.05111584	5372946.42645236	5057213.80149496	162841024.26433	437114005.695504	614108508.503328	537294638.919448
0001410368-25-032903	326867	USD	95435.2	-1876368.47	-4828896.03	-3162338.95	-832565.68	9208313.94	-193200956.31	-502168198.39	-324317886.31	-78955293.92
0001532203-25-000066	328841	CLP	1076.10557082	-9424.14692237	-29775.48493464	-46831.33258683	-16658.41907008	107301.80023027	-935106.40055201	-2923895.18529193	-4489960.37973793	-1556750.53909878
0001532203-25-000066	328842	CNY	7601.12282126	-86917.29451271	-270411.8006688	-256341.88897318	-169811.87894286	756060.07810431	-8609018.86923088	-26487435.93074268	-24687248.58845336	-15244836.27191216
0001532203-25-000066	328843	CZK	199.55761551	-19641.03964081	-101380.652094	-90215.57250165	-16886.6162092	19855.39254927	-1948595.84292849	-9932291.24091313	-8686553.06348533	-1548299.18090865
0001532203-25-000066	328859	RON	411.24941449	-25058.01877937	-49639.44645183	-38118.64631065	-453.9069382	40914.15014403	-2482144.38001561	-4873659.93279477	-3675489.79702528	-45283.46000446
0001099263-25-004419	325112	NZD	0	0	77.628687	6.022918	0	0	0	7530.984652	584.300767	0
0001193125-25-301782	326696	USD	72641.89819827849	-822618.4877984901	-2098537.147065734	-2021436.944332336	-880543.5613765696	7236236.078739886	-82292184.48474686	-209100199.1684273	-200515303.215058	-83686996.10564081
0000106444-25-000235	328831	AUD	62.87855817	3539.94130309	-41408.76701283	47784.14194496	368.9453005	6028.93614685	346024.72024752	-4047362.15981102	4500651.45305397	36860.64213183
0001532203-25-000068	328913	AUD	1813.34594518	-257539.82854983	-977284.67904804	-1026929.38475578	-137057.25852501	181075.27491018	-25554822.87914764	-95866811.88377306	-98820091.00823936	-12846976.55861964
0001532203-25-000068	328916	CLP	1360.55929178	-11792.33863876	-37380.41908966	-55972.99305264	-20554.87665227	135665.2229985	-1170161.61613411	-3671148.83142293	-5368163.05775895	-1920287.18738812
0001532203-25-000068	328928	MXN	-655.77140975	-77798.06402132	-181361.6102291	-220441.80207491	-70392.97016211	-65294.10922954	-7716886.56221439	-17814670.81115559	-21134537.04949119	-6613295.81231178
0001532203-25-000068	328932	PEN	765.07502401	-8540.76761048	-50929.41874366	-90320.83281955	-10238.88054147	76047.9153671	-847401.26292483	-4993948.29130751	-8665987.29452669	-985172.58212549
0001532203-25-000068	328923	HUF	80.67675219	-18654.76601963	-38317.38796682	-29163.92271427	-3894.03180072	8034.2987052	-1847565.0938709	-3757582.67884854	-2797040.09587447	-383255.10457354
0001532203-25-000068	328934	RON	474.35658464	-28823.0149421	-61177.87632141	-45103.48744032	-465.82195982	47190.70704219	-2856017.15415809	-6009266.75765786	-4352338.94138741	-46472.1472876
0001532203-25-000068	328936	SGD	391.76765677	-46336.55139353	-115830.56968142	-191064.05262177	-215143.66363564	39128.0380781	-4597974.70027908	-11370509.408513	-18265600.42096561	-19098611.49227149
0001099263-25-004476	325466	USD	1133982.111137	-123183.247948	2529237.824683	22846945.956417	5640515.909699	149551199.018295	-8146729.322804	290584972.781751	2080708849.148173	508226377.914142
0001099263-25-004484	325750	MXN	0	12784.792287	33524.321833	3779.831046	0	0	1254572.072621	3264491.631469	362496.017529	0
0001193125-25-334136	329603	GBP	6618.05	-17232.91	-99859.82	-353707.14	-104445.64	661977.58	-1712218.93	-9789501.18	-33707517.14	-9614517.73
0001099263-25-004447	325252	AUD	2230.871341	0	0	0	0	222750.40724	0	0	0	0
