ACCESSION_NUMBER	BORROWER_ID	NAME	LEI	AGGREGATE_VALUE
0001004726-25-002059	918522	TD Prime Services LLC	549300ZBQI1JB1844X09	1026631.4
0000035402-25-001329	911261	ING FINANCIAL MARKETS LLC	KBVRJ5K57JZ3E2AVWX40	2422305.59
0000035402-25-001329	911263	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	92157630
0000035402-25-001329	911264	MIZUHO SECURITIES USA LLC.	7TK5RJIZDFROZCA6XF66	9772963
0000035402-25-001475	911924	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	83889876.99
0002071691-25-004187	913237	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	1459382.53999999
0002071691-25-004187	913238	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	4716313
0000035402-25-002118	918825	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	10046763
0000862084-25-000080	919117	Jefferies LLC	58PU97L1C0WSRCWADL48	354148.64
0000036405-25-000238	919174	Barclays Capital Inc	AC28XWWI3WIBK2824319	2631828.76
0000036405-25-000238	919175	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	4438632
0000940400-25-010613	920122	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	66775971.95
0000940400-25-010613	920131	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	98354771
0000940400-25-010613	920139	UBS AG	BFM8T61CT2L1QCEMIK50	193691286.5
0000940400-25-010613	920140	MORGAN STANLEY & CO. LLC (US EQUITY SEC LENDING)	9R7GPTSO7KV3UQJZQ078	647422929.16
0001410368-25-032006	924114	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	70103744.8
0000777535-25-000042	924190	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	95406833.73
0000777535-25-000042	924193	BNP PARIBAS (NEW YORK BRANCH)	R0MUWSFPU8MPRO8K5P83	1869636.77
0001410368-25-032038	924887	Barclays Bank PLC	G5GSEF7VJP5I7OUK5573	125705257.06
0001410368-25-032043	924903	National Financial Services LLC	549300JRHF1MHHWUAW04	8494606.41
0001410368-25-032172	925137	National Financial Services LLC	549300JRHF1MHHWUAW04	37613.94
0001410368-25-032201	925157	UBS AG	BFM8T61CT2L1QCEMIK50	152452386
0001410368-25-032201	925160	VIRTU AMERICAS, LLC	549300RA02N3BNSWBV74	5684523.35
0001410368-25-017836	908790	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	289113778.24155
0001410368-25-017836	908809	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	7641966.7992
0001410368-25-031990	923990	National Financial Services LLC	549300JRHF1MHHWUAW04	29437060.13
0001410368-25-031990	923994	Scotia Capital (USA) Inc.	549300BLWPABP1VNME36	1775581.86
0001410368-25-031990	923995	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	96415
0001378872-25-000392	913736	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	7068684
0001193125-25-293305	917102	CIBC WORLD MARKETS INC.	549300TDJKVQJ41VN031	248508
0001193125-25-293318	917124	J.P. MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	498620.71798
0002071691-25-003731	910764	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	58060908.6934
0001410368-25-019349	912556	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	755716.90999999
0000052848-25-000256	910822	BofA Securities Inc	549300HN4UKV1E2R3U73	66900547
0001410368-25-017888	909240	RBC Capital Markets LLC	549300LCO2FLSSVFFR64	14974656.89203
0001410368-25-017888	909253	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	43979301.74491
0000777535-25-000037	922091	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	14835615.85
0000777535-25-000037	922094	BNP PARIBAS FINANCIAL MARKETS	6EWKU0FGVX5QQJHFGT48	100765.94
0000777535-25-000037	922095	BNP PARIBAS SECURITIES CORPORATION	RCNB6OTYUAMMP879YW96	17352453.13
0000777535-25-000037	922097	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	6048435.92
0000777535-25-000037	922099	GOLDMAN SACHS INTERNATIONAL	W22LROWP2IHZNBB6K528	672385.94
0001410368-25-031937	923538	Daiwa Capital Markets America Inc.	M67H5PRC0NQKM73ZAS82	8337286.66
0001410368-25-031937	923546	Macquarie Bank Limited	4ZHCHI4KYZG2WVRT8631	22108646.1
0001410368-25-031937	923554	Goldman Sachs International	W22LROWP2IHZNBB6K528	196834397.41
0001410368-25-031937	923562	MUFG Securities Americas Inc.	K5HU16E3LMSVCCJJJ255	141700857.79
0001410368-25-031937	923565	BMO Capital Markets Limited	L64HM9LHPDOS1B9HJC68	759829.13
0001410368-25-031937	923566	J.P. Morgan Securities LLC	ZBUT11V806EZRVTWT807	11535722.02
0002071691-25-007618	925716	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	814882.54
0002071691-25-007618	925727	CITADEL CLEARING LLC	5493001I7IJ4CW6Q9N27	3246180.3
0002071691-25-007618	925730	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	41960551.24
0001410368-25-028395	916649	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	268470
0000035402-25-001381	911470	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	15043056.06
0000035402-25-001381	911478	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	29330803.94
0002071691-25-007652	925969	Jefferies LLC	58PU97L1C0WSRCWADL48	250239423.1
0002071691-25-007652	925970	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	8734975.02
0002071691-25-007652	925974	RBC Capital Markets LLC	549300LCO2FLSSVFFR64	913902.4
0002071691-25-007652	925980	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	205738921.5856
0002071691-25-007652	925986	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	5158222.48
0002071691-25-007652	925988	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	24716187.7724
0002071691-25-007650	925997	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	109775230.32
0002071691-25-007646	926056	MORGAN STANLEY & CO. LLC (US EQUITY SEC LENDING)	9R7GPTSO7KV3UQJZQ078	156696417.7
0002071691-25-007646	926057	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	44738115
0002071691-25-007646	926070	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	2209434.4
0000036405-25-000241	918232	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	304266
0000036405-25-000241	918233	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	57057
0000035402-25-001373	911428	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	46012977
0001193125-25-293282	917088	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	47981274.83
0001193125-25-293324	917170	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	8967716.761191
0001193125-25-293324	917180	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	345306835.762716
0001193125-25-293324	917182	UBS AG LONDON BRANCH	BFM8T61CT2L1QCEMIK50	151776498.6948
0001193125-25-293324	917186	J.P. MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	146648899.706806
0001193125-25-293324	917190	SOCIETE GENERALE PARIS BRANCH	O2RNE8IBXP4R0TD8PU41	12013910.401196
0001193125-25-293324	917192	BNP PARIBAS SECURITIES CORPORATION	RCNB6OTYUAMMP879YW96	12769664.4
0001193125-25-293324	917195	TD SECURITIES (USA) LLC	SUVUFHICNZMP2WKHG940	7540863.88
0001193125-25-293324	917200	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	70752136.3824
0000052848-25-000265	910938	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	4827918.73
0000052848-25-000265	910939	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	23185377
0000052848-25-000265	910941	RBC Dominion Securities Inc	549300QJJX6CVVUXLE15	34872174
0000752177-25-000253	918116	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	2035740
0001193125-25-251567	909583	BARCLAYS CAPITAL INC	AC28XWWI3WIBK2824319	3587902.2
0000923202-25-000082	918210	BofA Securities Inc	549300HN4UKV1E2R3U73	113948266.3
0000036405-25-000235	918241	Canadian Imperial Bank of Commerce New York Branch	549300H8L46OOZOFHU82	18515615
0000036405-25-000235	918242	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	226107247.2
0000036405-25-000235	918244	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	660472457.9
0000036405-25-000235	918245	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	5277400.58
0000036405-25-000235	918251	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	637589896.2
0000036405-25-000235	918252	National Bank of Canada Financial Inc	549300K66TF1ST7A3V76	107134
0000036405-25-000242	918275	Clear Street LLC	549300KNQS43Y7TO3X67	2935444.74
0000036405-25-000242	918285	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	169412
0000036405-25-000242	918286	RBC Capital Markets LLC	549300LCO2FLSSVFFR64	19201837.13
0000036405-25-000242	918291	TD Prime Services, Inc.	549300ZBQI1JB1844X09	10025372
0001004726-25-002043	918563	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	735939.36
0001004726-25-002043	918567	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	2076252.34
0001004726-25-002043	918570	Jefferies LLC	58PU97L1C0WSRCWADL48	211766.92
0000889519-25-000042	918431	CANTOR FITZGERALD	5493004J7H4GCPG6OB62	104467
0000889519-25-000042	918435	HSBC Bank PLC	MP6I5ZYZBEU3UXPYFY54	7020
0000889519-25-000042	918444	SG Americas Securities LLC	549300F35UE0BOM1WJ55	190462
0000889519-25-000042	918447	The Bank of New York Mellon	HPFHU0OQ28E4N0NFVK49	114629.87
0000889519-25-000042	918450	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	751021.12
0001193125-25-293319	917141	J.P. MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	68892782.367831
0001193125-25-293319	917142	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	8471715.119371
0002071691-25-006423	917157	Jefferies LLC	58PU97L1C0WSRCWADL48	9271687.2
0001004726-25-002038	918400	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	8721014.45
0001004726-25-002038	918401	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	770376.18
0001004726-25-002038	918413	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	7549150.2
0001193125-25-293283	917106	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	25065283.961891
0001193125-25-293283	917107	Virtu AMERICAS LLC	549300RA02N3BNSWBV74	137789.620007
0001193125-25-293283	917108	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	162000
0001410368-25-017270	908421	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	2553330
0000940400-25-010616	920170	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	6760143
0000940400-25-010642	920255	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	237141765.73
0000940400-25-010634	920218	DEUTSCHE BANK SECURITIES INC	9J6MBOOO7BECTDTUZW19	304536.04
0000035402-25-002272	920528	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	30118621
0000035402-25-002272	920536	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	3203361
0001410368-25-017274	908438	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	500695.82
0001410368-25-017274	908442	BofA Securities, Inc.	549300HN4UKV1E2R3U73	11500648.08
0000035402-25-001446	911695	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	2546314.41
0000940400-25-010641	920573	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	8931944.74
0000940400-25-010641	920575	CITADEL CLEARING LLC	5493001I7IJ4CW6Q9N27	3856240
0000035402-25-001335	911249	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	916237.6
0000036405-25-000244	918297	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	14392917
0000036405-25-000244	918301	SG Americas Securities LLC	549300F35UE0BOM1WJ55	2613798
0001410368-25-031954	923851	SG Americas Securities, LLC	549300F35UE0BOM1WJ55	15908
0001410368-25-031954	923858	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	28506174.88
0000777535-25-000040	923869	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	65385697.5
0002071691-25-007634	925748	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	25071423
0002071691-25-007634	925754	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	39494073.8
0002071691-25-007634	925759	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	218467961.04
0002071691-25-007634	925760	Scotia Capital Inc	5493009NLZXZGJDOPC94	150115.95
0002071691-25-007667	926173	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	70253707
0002071691-25-007667	926179	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	10786040.1
0000035402-25-001386	911448	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	185511749.99
0000035402-25-001386	911452	NOMURA SECURITIES INTERNATIONAL INC	OXTKY6Q8X53C9ILVV871	2924092
0000035402-25-001386	911453	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	23708493.5
0000035402-25-001386	911456	UBS AG	BFM8T61CT2L1QCEMIK50	12603575
0000035402-25-001416	911487	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	39529878.19
0000035402-25-001416	911496	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	13835173.64
0000035402-25-001416	911499	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	880385.54
0000035402-25-001440	911668	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	53015023.71
0000035402-25-001440	911669	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	80507862.39
0000035402-25-001440	911670	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	29250633.43
0000035402-25-001440	911671	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	1654686
0000035402-25-001440	911674	NOMURA SECURITIES INTERNATIONAL INC	OXTKY6Q8X53C9ILVV871	1480241
0000035402-25-001440	911675	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	1555694
0000035402-25-001440	911682	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	7119285
0001410368-25-032289	925559	RBC Capital Markets, LLC	549300LCO2FLSSVFFR64	143406
0000035402-25-001477	911828	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	44686778
0002071691-25-007832	927267	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	48296817.21
0001410368-25-032903	928899	BARCLAYS CAPITAL INC	AC28XWWI3WIBK2824319	5685962.43
0001410368-25-032903	928903	BNP PARIBAS PARIS BRANCH	R0MUWSFPU8MPRO8K5P83	9016351.86
0001410368-25-032903	928913	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	306529.9
0001004726-25-003417	937577	JEFFERIES LLC	58PU97L1C0WSRCWADL48	332006.85
0001004726-25-003417	937578	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	6569995.43
0001004726-25-003417	937583	WELLS FARGO SECURITIES LLC	VYVVCKR63DVZZN70PB21	42964567.68999998
0001004726-25-003417	937584	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	30566149.13999996
0000035402-25-003013	935694	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	264766093.61
0000035402-25-003013	935700	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	19240348.12
0001193125-25-301809	928185	BARCLAYS CAPITAL, INC.	AC28XWWI3WIBK2824319	2294891
0001193125-25-301809	928187	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	11714575
0001193125-25-301809	928188	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	2676557
0002071691-25-009312	932018	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	5611356
0001084380-25-000525	940708	RBC CAPITAL MARKETS, LLC	549300LCO2FLSSVFFR64	476387.73
0001084380-25-000525	940710	BMO CAPITAL MARKETS CORP.	RUC0QBLBRPRCU4W1NE59	1794357.58
0001084380-25-000525	940711	SOCIETE GENERALE SA	O2RNE8IBXP4R0TD8PU41	3371040.3
0001084380-25-000525	940712	MACQUARIE BANK LIMITED	549300MPRNPO6FWNKN78	538812.06
0001084380-25-000525	940724	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	13981983.93
0001084380-25-000525	940725	MIZUHO SECURITIES USA LLC	7TK5RJIZDFROZCA6XF66	418456.68
0000857489-25-000147	933878	BofA Securities Inc	549300HN4UKV1E2R3U73	9641742.06
0001410368-25-042035	933173	Barclays Capital Inc.	AC28XWWI3WIBK2824319	177210
0001410368-25-040419	930658	BOFA Securities, Inc.	549300HN4UKV1E2R3U73	163735021.28
0001410368-25-040419	930659	Bank of Nova Scotia (Houston Branch)	L3I9ZG2KFGXZ61BMYR72	120368025.88
0001410368-25-040419	930661	Barclays Capital Inc (NY)	AC28XWWI3WIBK2824319	1506369
0001410368-25-040419	930665	Goldman NY Enhanced GC 2	FOR8UP27PHTHYVLBNG30	112127787
0001410368-25-040419	930668	ING Financial Mkts LLC	KBVRJ5K57JZ3E2AVWX40	4613756
0001410368-25-040419	930674	Scotia Capital (USA) Inc.	549300BLWPABP1VNME36	3357598.52
0001410368-25-040419	930677	TD Securities LLC	SUVUFHICNZMP2WKHG940	42540194
0001410368-25-040425	930743	BNP Paribas Securities Corp (NY)	RCNB6OTYUAMMP879YW96	10718614.38
0001410368-25-040425	930744	BOFA Securities, Inc.	549300HN4UKV1E2R3U73	47201159.3
0001410368-25-040425	930748	CIBC World Markets Inc.	549300TDJKVQJ41VN031	10154739.46
0001410368-25-040425	930758	National Financial Services LLC	549300JRHF1MHHWUAW04	30336
0001410368-25-040425	930764	TD Securities LLC	SUVUFHICNZMP2WKHG940	1547393
0001410368-25-040424	930686	BARCLAYS CAPITAL INC	AC28XWWI3WIBK2824319	66807822.18999988
0001410368-25-040424	930691	BOFA SECURITIES INC.	549300HN4UKV1E2R3U73	198172956.85999987
0001410368-25-040424	930697	H.S.B.C. BANK PLC	MP6I5ZYZBEU3UXPYFY54	124313745.85999991
0001410368-25-040424	930715	STATE STREET BANK AND TRUST CO	571474TGEMMWANRLN572	278235899.02999962
0001410368-25-040424	930718	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	1188562.83
0001410368-25-040430	930796	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	47819076.60999995
0001410368-25-040430	930803	BOFA SECURITIES INC.	549300HN4UKV1E2R3U73	92959945.62999998
0001410368-25-040430	930804	CITIGROUP GLOBAL MARKETS INC	MBNUM2BPBDO7JBLYG310	78317616.07999997
0001410368-25-040430	930823	SCOTIA CAPITAL USA INC.	549300BLWPABP1VNME36	3431434.92999999
0002071691-25-009466	932207	HSBC SECURITIES (USA) INC	CYYGQCGNHMHPSMRL3R97	8372266.5
0001193125-25-301782	928150	MIZUHO SECURITIES USA LLC	7TK5RJIZDFROZCA6XF66	430555
0001193125-25-334199	938500	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	192165659.64
0001193125-25-334202	938492	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	350280
0001193125-25-334202	938495	BMO CAPITAL MARKETS CORP.	RUC0QBLBRPRCU4W1NE59	138575.234
0001193125-25-334214	938616	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	8571339.51125
0001193125-25-334214	938619	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	27773827.394537
0001193125-25-334214	938621	GOLDMAN SACHS & CO. LLC	FOR8UP27PHTHYVLBNG30	1263435.397597
0001193125-25-334214	938624	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	44061495.722694
0000035402-25-002966	935072	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	4121335
0001193125-25-334203	938513	SOCIETE GENERALE PARIS BRANCH	O2RNE8IBXP4R0TD8PU41	14468125.808448
0001193125-25-334203	938514	WELLS FARGO SECURITIES, LLC	VYVVCKR63DVZZN70PB21	205738
0001410368-25-043395	938970	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	193573.48
0001410368-25-043395	938988	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	456203.628025
0001410368-25-042012	933155	BofA Securities, Inc.	549300HN4UKV1E2R3U73	3842818.04
0001410368-25-042012	933161	STATE STREET BANK AND TRUST CO	571474TGEMMWANRLN572	1325100.28
0001410368-25-043505	939560	BofA Securities, Inc.	549300HN4UKV1E2R3U73	77369982.75156
0001410368-25-043505	939563	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	33.972939
0001410368-25-043505	939572	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	7367973.747642
0001410368-25-043505	939574	TD Prime Services LLC	549300ZBQI1JB1844X09	116100
0001410368-25-043505	939578	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	462176
0000035402-25-003052	935804	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	287199279.53
0000035402-25-003052	935806	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	2552411
0000035402-25-003052	935808	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	205323257.07
0001193125-25-334200	938569	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	25472096.71
0001193125-25-334200	938572	BNP PARIBAS FINANCIAL MARKETS	6EWKU0FGVX5QQJHFGT48	12849730.527891
0001193125-25-334200	938581	GOLDMAN SACHS INTERNATIONAL	W22LROWP2IHZNBB6K528	4321585.071618
0001193125-25-334200	938582	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	13005564
0001410368-25-043387	938837	BofA Securities, Inc.	549300HN4UKV1E2R3U73	49084184.14134
0001410368-25-043387	938840	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	198268797.15134453
0001410368-25-043387	938847	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	63628486.23482
0001410368-25-043387	938857	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	114046970.89858
0001410368-25-043382	939052	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	6207593.6814
0001410368-25-043382	939057	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	7770671.6941
0001410368-25-043382	939060	Macquarie Bank Limited	4ZHCHI4KYZG2WVRT8631	9171.72
0001410368-25-043382	939061	NOMURA SECURITIES INTERNATIONAL INC.	OXTKY6Q8X53C9ILVV871	938598.8197
0001410368-25-043382	939062	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	6083387.5
0001410368-25-043382	939063	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	192237.218996
0000736054-25-000149	933978	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	513383368.9
0000736054-25-000149	933979	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	945246
0001084380-25-000533	940835	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	596080.64
0001084380-25-000533	940836	SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)	F3JS33DEI6XQ4ZBPTN86	417603.64
0001209466-25-000763	941290	Scotia Capital (USA) INC	549300BLWPABP1VNME36	346710
0001209466-25-000763	941304	BNP Paribas Prime Brokerage Intl Ltd	549300KUN9K9K32C6D97	220556383.01
0001209466-25-000763	941308	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	2405420.16
0000734383-25-000145	934033	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	21437181.79
0000734383-25-000145	934038	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	49997245
0001004655-25-000255	934073	Barclays Capital Inc	AC28XWWI3WIBK2824319	9883163
0000940400-25-014474	934133	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	7083908.31
0000940400-25-014474	934136	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	3864678.65
0000940400-25-014474	934137	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	6358664.99
0000940400-25-014474	934138	Wells Fargo Securities, LLC	VYVVCKR63DVZZN70PB21	7143912.13
0000857489-25-000152	933960	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	25016211.22
0000857489-25-000152	933963	Barclays Capital Inc	AC28XWWI3WIBK2824319	17573138.99
0000857489-25-000152	933965	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	2299211.15
0000035402-25-002869	934484	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	541140
0002071691-25-009449	932233	MORGAN STANLEY & CO LLC	9R7GPTSO7KV3UQJZQ078	21671575.661324
0002071691-25-009449	932234	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	2505876.073
0002071691-25-009449	932238	National Bank Financial Inc.	549300D83GR71RNG0O65	2329229.0874
0002071691-25-009449	932247	TD Prime Services LLC	549300ZBQI1JB1844X09	404959.6
0001410368-25-017881	909058	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	243198
0001410368-25-017881	909071	GOLDMAN SACHS INTERNATIONAL	W22LROWP2IHZNBB6K528	586562948.706903
0001410368-25-017881	909077	BofA Securities, Inc.	549300HN4UKV1E2R3U73	369912665.180889
0000035402-25-001447	911868	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	4967412.43
0001193125-25-251558	909576	NOMURA SECURITIES INTERNATIONAL, INC.	OXTKY6Q8X53C9ILVV871	121300725.293043
0000036405-25-000237	918145	Barclays Capital Inc	AC28XWWI3WIBK2824319	125861976.5
0000036405-25-000237	918153	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	21072092.98
0000036405-25-000237	918159	RBC Dominion Securities Inc	549300QJJX6CVVUXLE15	6826410
0000036405-25-000237	918161	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	4368090.18
0000036405-25-000237	918162	State Street Bank and Trust Company	571474TGEMMWANRLN572	1564175
0000036405-25-000237	918166	Velocity Clearing LLC	984500T997U2DFD6C761	383600
0000036405-25-000239	918202	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	6523479
0000036405-25-000243	918313	CANTOR FITZGERALD	5493004J7H4GCPG6OB62	5941910.01
0000036405-25-000243	918317	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	92894641.64
0000036405-25-000243	918321	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	140863916.1
0000036405-25-000243	918324	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	198843660.4
0000036405-25-000243	918336	The Bank of Nova Scotia Houston Branch	L3I9ZG2KFGXZ61BMYR72	4222992.32
