HOLDING_ID	PAYOFF_PROFILE	EXPIRATION_DATE	NOTIONAL_AMOUNT	CURRENCY_CODE	UNREALIZED_APPRECIATION
159086260	Long	19-DEC-2025	3822373777.35	USD	25688722.65
156270562	Short	19-SEP-2025	-170751383.36	USD	-19425066.64
157756815	Long	06-JAN-2026	1558820331.2	USD	697953.71
158303118	Long	19-DEC-2025	3674016.13	USD	-59196.13
156396640	N/A	26-SEP-2025		USD	
159382955	Short	16-JUN-2026	-51628837.5	USD	705283.67
157912372	Long	31-DEC-2025	3323210933.93	USD	1994542.8
156084176	Long	31-DEC-2025	936112500	USD	5547773.61
156381500	Long	19-DEC-2025	28962730.65	USD	186956.85
156381913	Long	19-DEC-2025	1365303.72	USD	7758.78
158528342	Long	19-DEC-2025	15051239.937805	USD	110947.562195
158359423	Short	19-DEC-2025	-68603379.44	USD	100395.06
157666282	Short	31-DEC-2025	-2229293534.36	USD	-19371523.42
159039060	Long	19-DEC-2025	256580082.12	USD	2524855.38
158217897	Long	19-DEC-2025	638712568.68	EUR	11732129.82
160884490	Long	31-DEC-2025	162923538.48	USD	1198603.52
159749588	Long	09-DEC-2025	651756785.63	EUR	84644.29
159751444	Short	15-DEC-2025	-3869012.5	USD	86112.5
159754125	Short	17-MAR-2027	-151581850	USD	-74475
161041724	Long	17-DEC-2027	22356731.34	USD	124818.66
160406054	Short	15-DEC-2025	-83373895.1	AUD	381791.66
156400953	N/A	26-SEP-2025		EUR	
156401748	Long	08-SEP-2025	4681121.68	EUR	7803.28
155871182	Long	19-SEP-2025	4435688.81	USD	185421.19
156244592	Long	19-DEC-2025	7848085.24	USD	45946.01
159446331	Long	19-DEC-2025	1538929162.94	USD	14602070.42
160885258	Long	15-DEC-2025	56718870.6	AUD	60027.53
157673841	Short	10-DEC-2025	-3360131.1	EUR	17004.65
159371092	Long	16-MAR-2027	3362032237.5	USD	4515641.83
160888828	Short	10-DEC-2025	-15808986.71	EUR	-112998.76
159286232	Long	08-DEC-2025	14384750.49	EUR	3994.4
159750582	Long	22-OCT-2025	48610900	USD	-2020510
159754933	Long	12-DEC-2025	49454436.14	JPY	991601.23
159750972	Long	15-DEC-2027	237797650	USD	248087.5
156612776	Short	19-DEC-2025	-85791406.25	USD	341141.18
159383828	Short	08-DEC-2025	-267630260.92	EUR	-882451.39
160011539	Long	19-DEC-2025	330637228.29	USD	9625771.71
160893955	Short	10-DEC-2025	-6951931.87	EUR	-18690.29
160888882	Long	06-JAN-2026	6167508941.23	USD	-7358503.81
157756821	Long	31-DEC-2025	376537500	USD	2023293.67
160384216	Short	19-DEC-2025	-3760828.69	USD	-50155.69
160383426	Short	31-DEC-2025	-130937975.49	USD	-5939.17
156352774	Long	31-DEC-2025	682687328.49	USD	1265960.57
158712443	Long	19-DEC-2025	27272088.37	USD	-115413.37
160885317	Short	06-JAN-2026	-150055831.56	USD	314198.92
159754459	Long	12-DEC-2025	116627028.58	JPY	-67880.17
159289508	Long	19-DEC-2025	386343493.87	USD	3893637.72
157664306	Short	10-DEC-2025	-490277832.83	EUR	-2688488.94
158304656	Long	19-DEC-2025	56179393.85	USD	763043.65
161041739	Long	19-DEC-2025	299151906.37	USD	2616693.63
158276481	Long	19-DEC-2025	2536791.54	USD	41483.46
158503694	Short	17-MAR-2026	-19247118.75	USD	-9966.41
156380820	Short	31-DEC-2025	-80629822.8	USD	-400177.2
160530202	Long	31-DEC-2025	368314043.05	USD	-350096.86
159009078	Long	19-DEC-2025	81318225	USD	3261225
157666263	Long	06-JAN-2026	19141396714	USD	6167670.91
158217887	Long	18-DEC-2025	260752864.87	CAD	5023351.48
159751023	Long	12-DEC-2025	14910975	USD	40725
159751888	Long	13-JAN-2026	5236875	USD	14650
161041757	Short	19-DEC-2025	-30949524.64	GBP	-257039.53
159367334	Long	15-SEP-2026	558998250	USD	205019.54
159275074	Long	08-DEC-2025	28762738.45	EUR	642698.86
158217902	Long	18-DEC-2025	228217351.1	AUD	-1094868.81
156456100	Short	19-DEC-2025	-509134614.63	USD	-2923994.75
158218005	Short	19-DEC-2025	-277276242.59	USD	1313742.59
159342879	N/A	09-DEC-2025		EUR	
159341644	Long	19-DEC-2025	526748338.23	USD	5308646.66
160406373	Short	31-DEC-2025	-314234608.7	USD	413631.38
160406406	Short	15-DEC-2025	-46504499.34	JPY	358970.54
159296857	Long	19-DEC-2025	376859000	USD	10603150.92
158471023	Short	19-DEC-2025	-599109946.23	USD	-8388366.27
160516559	Long	08-DEC-2025	390671197.67	EUR	1306191.11
160638557	Long	19-DEC-2025	347563357.16	USD	14260222.84
160353244	Long	19-DEC-2025	61830575.49	USD	2097624.51
158242429	Long	19-DEC-2025	161107219.09	USD	1005280.91
158528346	Long	19-DEC-2025	16723599.930894	USD	123275.069106
160885328	Long	06-JAN-2026	1158659545.16	USD	-1559186.29
159749360	Short	15-SEP-2027	-7103696.55	GBP	-1479.5
159749151	Long	19-DEC-2025	378712466.4	CAD	3021032.92
158471034	Long	19-DEC-2025	216933153.26	USD	-515343.26
156312341	Long	19-SEP-2025	1547173239.02	USD	33377695.98
159390603	Long	29-DEC-2025	635898325.6	GBP	637353.17
161041760	Long	19-DEC-2025	63849178.06	EUR	1245659.63
158487498	Long	19-DEC-2025	182974091.26	USD	-2561711.26
156420238	Long	08-SEP-2025	4923346.11	EUR	1762.46
159748599	Short	16-DEC-2025	-595605	USD	1014
157673844	Short	22-DEC-2025	-265363694.76	JPY	1912214.17
158977495	Long	19-DEC-2025	370166625.83	USD	5181749.17
157928025	Long	19-DEC-2025	11912587.06	USD	415942.94
159754134	Long	16-DEC-2025	51088086.25	USD	12276.45
157907892	Short	15-DEC-2025	13905916.54	AUD	49404.11
156222947	Long	19-SEP-2025	25355188.93	USD	-16498.93
160904427	Long	31-DEC-2025	22057516.58	USD	312953.95
158504883	Long	15-DEC-2026	42771724.22	USD	82188.28
161041775	Short	21-NOV-2025	-86307188.74	EUR	-209305
160593012	Long	19-DEC-2025	52605997.07	USD	3042562.93
156350288	Short	19-DEC-2025	-2337459.6	USD	8709.6
156387368	Long	19-SEP-2025	1516869742.18	USD	93226820.32
159166264	Long	15-DEC-2025	864646386.2	AUD	-665261.23
157927673	Long	19-DEC-2025	2918457.63	USD	69752.37
157927172	Long	19-DEC-2025	120807.5	USD	1967.5
156237573	Long	31-DEC-2025	265697624.74	USD	1296656.51
159271495	Long	19-DEC-2025	196298868.06	USD	1179605.64
158503720	Long	17-MAR-2026	19489249.28	USD	13525.72
158114960	Long	19-DEC-2025	302760813.55	USD	1889186.45
156408687	N/A	26-SEP-2025		USD	
159185000	Short	19-NOV-2025	-769968	USD	79520.81
159753953	Short	02-MAR-2026	-1111992	USD	-22120
158251835	Long	19-DEC-2025	123944423.64	USD	1733263.86
156414045	Short	19-DEC-2025	-103297254.38	USD	-554667.5
156398046	Long	18-DEC-2025	31043666.25	CAD	160951.48
158981836	Long	19-DEC-2025	31762620.12	USD	-215100.12
160885309	Long	10-DEC-2025	394707197.16	EUR	446778.77
159754785	Short	14-SEP-2026	-185426645.79	EUR	89025.4
158233779	Long	19-DEC-2025	64192325.47	USD	-440045.47
160004926	Long	19-DEC-2025	272839367.89	USD	8994632.11
159647551	Short	31-DEC-2025	-203186325.96	USD	-213674.04
156363422	Long	19-SEP-2025	26531647.06	USD	1076522.94
159289697	N/A	20-DEC-2025		USD	
160400116	Short	19-DEC-2025	-230291365.18	USD	131005.8
158234546	Long	19-DEC-2025	116274701.22	USD	725298.78
158208012	Long	19-DEC-2025	36001266.07	USD	51046.43
158528337	Long	19-DEC-2025	71577007.704228	USD	527617.295772
158470974	Long	19-DEC-2025	716704625.26	USD	3870280.99
155864629	Long	19-SEP-2025	272919384.52	USD	4496760.48
155861535	Long	19-SEP-2025	39063111.08	USD	-116606.08
158500935	Long	19-DEC-2025	256299475.48	USD	5150212.02
158369778	Long	19-DEC-2025	1812004.68	USD	29620.32
158335563	Long	19-DEC-2025	266764461.11	USD	253038.89
160310270	Long	19-DEC-2025	357276969.3	USD	7732430.7
158492750	Long	19-DEC-2025	15637733.98	USD	198328.52
158503993	Short	19-DEC-2025	-27764715.63	USD	-350759.37
157926652	Long	19-DEC-2025	2570795	USD	47370
157666230	Short	10-DEC-2025	-790998812.24	EUR	86548.2
158243058	Short	31-DEC-2025	-34275806.76	USD	206869.1
159736750	Long	19-DEC-2025	398013829.88	USD	4001420.12
156371567	Long	15-SEP-2025	6749741.63	AUD	3508.8
160407307	Short	15-DEC-2025	-100479567	AUD	217045.87
160503780	Short	08-DEC-2025	-626096039.65	EUR	700407.62
160630162	Long	19-DEC-2025	9565386.34	USD	145223.66
159164853	Long	17-MAR-2026	63198900	GBP	-367.49
159443250	Long	29-DEC-2025	14514119669.15	GBP	11077332.23
160180429	Long	19-DEC-2025	194190500	USD	4635613.53
160394140	Long	19-DEC-2025	250551733.99	USD	6535866.01
159748876	Short	30-DEC-2025	-15167457.93	THB	55031.71
159385285	Short	19-DEC-2025	-8056015.66	USD	-78299.76
160885261	Short	16-SEP-2026	-872027.74	CAD	-226.92
