ACCESSION_NUMBER	ASSET_CAT	INSTRUMENT_KIND	NET_REALIZED_GAIN_MON1	NET_UNREALIZED_AP_MON1	NET_REALIZED_GAIN_MON2	NET_UNREALIZED_AP_MON2	NET_REALIZED_GAIN_MON3	NET_UNREALIZED_AP_MON3
0000035402-25-001335	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001335	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001335	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001335	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001335	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001335	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001335	Other Contracts		0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Credit Contracts		0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Future Category	5289643.94	8334911.78	6142116.68	-1633388.13	4354318.26	-25661.18
0000035402-25-001351	Equity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Equity Contracts		5289643.94	8334911.78	6142116.68	-1633388.13	4354318.26	-25661.18
0000035402-25-001351	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001351	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001351	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
