ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0002071691-25-004164	907708	C000173234	1.482964	-.276528	1.286373
0002071691-25-004164	907709	C000173235	1.502277	-.254925	1.306253
0002071691-25-004164	907710	C000009616	1.482953	-.269262	1.28742
0001193125-25-251548	904679	C000024004	6.31086399	2.376841	.971695
0001193125-25-251548	904687	C000024014	6.323183	2.35684	.98421199
0001410368-25-031962	917829		2.24	2.02	3.63
0002071691-25-007652	918532	C000012074	1.713806	7.126605	3.121833
0002071691-25-007650	918540	C000202279	.727712	1.139976	.709025
0002071691-25-007650	918543	C000202275	.551359	1.103525	.812048
0001193125-25-293282	911373	C000025051	1.73153599	.936433	3.59075599
0001193125-25-293282	911378	C000025057	1.73041999	.93439999	3.60756299
0001193125-25-293282	911385	C000077853	1.82093499	1.024623	3.69561799
0001193125-25-293282	911390	C000189471	1.80872	1.031952	3.68685799
0001193125-25-293324	911748	C000026256	-.37736499	3.14009999	.68253999
0001021882-25-000198	905846	C000092013	6.37064	3.76889	1.11242
0000826473-25-000044	914809	C000007083	.22472	4.26009	1.10325819
0001193125-25-251567	904899	C000025075	6.83270799	1.90859599	1.66085
0001193125-25-251567	904907	C000189486	6.92644	1.985394	1.7544
0001193125-25-251567	904909	C000224555	6.928452	1.982375	1.75267999
0000036405-25-000235	913953	C000155407	2.27952	2.28153	3.46933184
0000036405-25-000242	913965	C000007796	1.85739	4.5977	.96328049
0000036405-25-000242	913968	C000096112	1.85739	4.59922	.96198032
0000794105-25-000140	913962	C000105311	-.05736	1.11501	.22664683
0001193125-25-293319	911622	C000026339	-1.503587	3.7439	3.70929799
0001193125-25-293319	911633	C000221170	-1.400877	3.8376	3.790115
0002071691-25-006423	911725	C000128785	3.1973712	1.0639582	5.0117404
0002071691-25-006423	911727	C000068977	3.1485899	1.008587	4.9705446
0000794105-25-000138	914015	C000007064	-.2876	1.16698	1.04725989
0001193125-25-293283	911475	C000026221	1.96688	1.852651	2.25081799
0001193125-25-293283	911476	C000026222	2.0416	1.90625	2.306828
0001193125-25-293283	911479	C000026226	2.018441	1.88482199	2.29
