ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001410368-25-017274	903688	C000079984	2.86	-.77	4.16
0000035402-25-001446	906398	C000019275	1.65	-.24	1.12
0001193125-25-295368	913154		.85	.47	.75
0000036405-25-000245	914055	C000105307	1.70188	3.31218	1.52279158
0001099263-25-001808	906048	C000005493	2.86	.44	2.22
0000036405-25-000244	913980	C000007783	3.74701	.83675	4.70139503
0001099263-25-003615	916308	C000005428	2.32	.41	1.19
0001410368-25-031954	917779	C000017597	-.05	3.11	.14
0001410368-25-032147	918045	C000117726	2.24	2.02	3.63
0002071691-25-007667	918665	C000202264	.165796	1.083121	.851849
0001193125-25-299121	918291	C000235735	-.03	4.13	3.54
0001193125-25-299123	918330	C000030875	-1.16	4.1	.24
0001410368-25-032903	922763	C000018457	.21	1.57	1.01
0001410368-25-032903	922767	C000158206	.24	1.78	.92
0000734383-25-000149	928298	C000008004	3.09623	-.32467532	.57003257
0001004726-25-003417	930163	C000225167	3.09	2.46	1.11
0000035402-25-003013	929407	C000079292	4.02	3.87	1.83
0001193125-25-334090	930783	C000078489	1.856	1.822265	1.023225
0001193125-25-334090	930785	C000135751	1.77911899	1.854468	.988289
0001193125-25-334094	930797	C000078490	1.911732	2.01619999	1.195377
0001193125-25-334093	930810	C000042416	1.96251799	2.481712	1.543688
0001193125-25-334093	930815	C000148409	1.898684	2.44057999	1.474176
0001193125-25-334095	930837	C000082212	1.960517	2.69247199	1.80534
0001193125-25-334095	930844	C000135772	2.02711099	2.79458599	1.899328
0001410368-25-043408	931541	C000210296	2.17	3.65	2.8
0002071691-25-009312	926250	C000015223	3.133441	1.728654	1.090636
0002071691-25-009312	926254	C000015218	3.106429	1.676709	1.078745
0000857489-25-000147	928201	C000065038	2.93551	3.52514688	1.89363708
0000857489-25-000147	928203	C000209799	2.93606	3.52083497	1.88408765
0001532203-25-000066	928218	C000109503	.03477	.58987489	1.02459397
0001193125-25-334091	931032	C000042395	1.76592799	1.54916199	.61043699
0001410368-25-042035	927425	C000028338	.84	2.89	1.91
0002071691-25-009466	926552	C000110086	1.01689	.867461	.614033
0001099263-25-004419	919207	C000026518	-.067982	.440579	.420046
0001099263-25-004419	919209	C000064132	-.042556	.466949	.443966
0001099263-25-004472	919518	C000118561	-.060642	1.674839	.231243
0001099263-25-004485	919905	C000046102	.139276	1.630941	.78341
0001410368-25-038298	924003	C000175546	2.68	.44	-.53
0001410368-25-039936	924535	C000001974	-.24	3.14	4.03
0001193125-25-334199	931266	C000025726	2.15098999	1.831508	.137564
0001193125-25-334199	931274	C000148358	2.17295599	1.853414	.16317
0001193125-25-334199	931276	C000179991	2.233001	1.91916	.237644
0001193125-25-334202	931237	C000024453	1.66972399	2.31228199	-.323857
0001193125-25-334202	931249	C000176470	1.715904	2.322064	-.27361
0001193125-25-334214	931470	C000179951	2.712954	1.360616	-.47416699
0001193125-25-334214	931473	C000223653	2.71192799	1.375288	-.510601
0001193125-25-334203	931293	C000024466	2.580968	1.49321	.010862
0001193125-25-334203	931297	C000024471	2.60446699	1.52587999	.025123
0001193125-25-334203	931302	C000068596	2.63799	1.534664	.06616499
0000106444-25-000235	928208	C000007097	1.44153	1.09022212	.40890361
0000857489-25-000151	928259	C000096109	4.14504	3.72049355	1.69014084
0001410368-25-042012	927414	C000016171	2.3	3.45	2.16
0001193125-25-334932	931784	C000131598	1.325130146711	4.539934609995	4.986149584488
0001410368-25-043401	931791	C000166017	3.25	3.78	-1.96
0000225997-25-000205	928209	C000007956	.62661	.6300221	.17603516
0001193125-25-334200	931425	C000026375	2.98954999	4.231084	2.89414999
0001193125-25-334200	931427	C000026377	2.930408	4.181423	2.819336
0001193125-25-334200	931433	C000026384	3.001745	4.22187499	2.893882
0001099263-25-004413	919245	C000200452	-.195503	1.540268	1.26457
0001099263-25-004476	919413	C000071766	-.106045	.849257	3.07083
0000736054-25-000149	928239	C000094038	4.18435	3.63940509	1.5114379
0001084380-25-000533	932621	C000079552	2.504743	2.406516	.939985
0001084380-25-000533	932622	C000014627	2.510151	2.412675	.914205
0001084380-25-000533	932623	C000202745	2.534998	2.435424	.936599
0001193125-25-334097	931082	C000042424	1.926825	2.593304	1.671185
0001193125-25-334097	931091	C000148411	1.95387999	2.613224	1.69821999
0001193125-25-334097	931093	C000179964	2.07103499	2.663124	1.77060599
0001193125-25-334136	931201	C000096497	1.81413199	1.86086399	1.388102
0001193125-25-334136	931215	C000179967	1.91244799	1.95977599	1.460024
0002071691-25-007797	919890	C000098141	.323933	3.717044	1.292355
0000940400-25-014474	928385	C000196667	1.36	1.01	.67
0000734383-25-000146	928285	C000008008	5.18716	3.65187258	5.1562299
0000225997-25-000214	928268	C000007953	.8735	1.91205573	1.07632071
0000898745-25-000869	927126	C000038781	.62	-1.52	-4.31
0000035402-25-002869	928778	C000064269	1.03	5.23	3.76
0000225997-25-000213	928313	C000153132	.83731	2.43267096	1.10577423
0001193125-25-293300	911528	C000077906	-.31863999	1.357332	.900835
0001193125-25-251553	904728	C000026244	8.31905299	.95916	2.091836
0001193125-25-251553	904729	C000026246	8.25964	.87676999	2.039001
0001193125-25-251553	904732	C000068559	8.35606299	.965184	2.12006
0001193125-25-251553	904733	C000077861	8.36051	.97497199	2.13027499
0001193125-25-251553	904738	C000189497	8.33226499	.97790399	2.12668399
0001193125-25-251558	904804	C000024477	5.272972	-.05473	2.39319999
0001193125-25-251558	904819	C000164816	5.283352	-.045444	2.39377399
0000105544-25-000027	913890	C000012161	-.03893	2.14174	1.00745748
0000752177-25-000264	913935	C000034439	.53829	2.16598	2.52501191
0000036405-25-000243	913999	C000007782	2.54694	4.07709	2.04465892
0000035402-25-001329	906172	C000100045	5.09	2.24	2.03
0000035402-25-001351	906205	C000064274	4.17	1.66	1.59
0000036405-25-000234	913900	C000007776	.17404	3.44578	2.33396063
0000036405-25-000234	913901	C000007777	.17404	3.44578	2.32221309
0001193125-25-293563	912441	C000023916	2.25265299	1.238088	3.91642099
0001193125-25-293563	912445	C000176239	2.22300799	1.20687	3.91130999
0000777535-25-000042	917875	C000154475	.926477	1.947819	3.368278
0001410368-25-032172	918126	C000012007	2.24	2.02	3.65
0001410368-25-017836	904179	C000012091	2.17	.03	.95
0002071691-25-003685	905042	C000006435	6.7	3.52	-.85
0001193125-25-293305	911425	C000023941	.928925	1.571192	2.971172
0001193125-25-293305	911429	C000023946	.927468	1.570392	2.975278
0001193125-25-293318	911584	C000077905	.50039999	1.87964	2.99924999
0001193125-25-293318	911590	C000224591	.487058	1.866401	2.98085
0001193125-25-293318	911591	C000224592	.485	1.873466	2.984912
0001193125-25-293287	911540	C000164463	-.64620199	1.51856	.62915999
0001193125-25-293287	911541	C000164464	-.64712499	1.62900799	.57926599
0001193125-25-293287	911544	C000164467	-.53752499	1.62151999	.584432
0001193125-25-293287	911548	C000164472	-.537868	1.623275	.58542999
0001193125-25-293287	911554	C000189485	-.53752499	1.62151999	.60127999
0001410368-25-019349	906703	C000054891	.96	-.08	.96
0001410368-25-019349	906705	C000156627	.97	.19	.97
0001410368-25-019349	906706	C000054892	.92	.14	.92
0002071691-25-006501	911990	C000199719	.4462936	2.53403	.849112
0002071691-25-006501	911992	C000018333	.4666614	2.992855	.4609025
0001099263-25-003640	915855	C000219322	-.19	3.16	.84
0001099263-25-003630	915714	C000166329	3.63	.66	3.53
0002071691-25-004164	907707	C000033520	1.514122	-.242534	1.319282
0000035402-25-001381	906314	C000103357	2.5	-2.41	4.7
0002071691-25-007650	918544	C000202276	.49436	1.046363	.757547
0000036405-25-000241	913947	C000007789	2.32989	1.92593	3.74944073
0000794105-25-000139	914007	C000054351	.1056	1.58228	.35721703
0001410368-25-017052	903483	C000002266	2.31	-.66	3.78
0001410368-25-017052	903485	C000002271	2.3	-.69	3.76
0001193125-25-293282	911382	C000025062	1.7739	.97786999	3.633248
0001193125-25-293282	911389	C000189470	1.80872	1.020766	3.68685799
0001193125-25-293324	911749	C000026257	-.32294099	3.194036	.73699999
0001193125-25-293324	911752	C000026261	-.3238	3.181175	.731762
0001193125-25-293324	911756	C000148446	-.34394999	3.14757199	.71177999
0000752177-25-000253	913865	C000007071	.76499	3.77358	5.6697149
0000036405-25-000236	913915	C000007791	2.00078	1.52564	1.599505
0001193125-25-251567	904903	C000077891	6.931708	2.002131	1.77362
0001193125-25-252339	905149	C000061836	3.05	.75	2.82
0001193125-25-252339	905152	C000255599	3.08	.77	2.88
0000036405-25-000235	913951	C000007807	2.28332	2.27858	3.46955467
0000836906-25-000266	914143	C000118814	.32	1.27592	-.02637795
0001193125-25-293319	911614	C000026329	-1.485124	3.74702	3.70012399
0001193125-25-293319	911615	C000026330	-1.491316	3.73378399	3.705056
0001193125-25-293319	911625	C000066830	-1.40451499	3.819452	3.792916
0001193125-25-293319	911627	C000148435	-1.467048	3.7628	3.74159999
0001193125-25-293319	911628	C000164824	-1.411432	3.828695	3.785836
0001410368-25-017278	903692	C000079978	5.11	2.27	2.26
0001193125-25-293283	911483	C000148444	1.97800999	1.87499	2.272427
0001410368-25-017036	903374	C000195683	3.11	-.93	2.93
0000035402-25-002155	915335	C000182210	.6	2.08	2.91
0000940400-25-010634	915587	C000052630	-.13	1.38	1.17
0001099263-25-003622	915699	C000219327	2.25	2.02	3.65
0000035402-25-002202	915509	C000254564	2.37	-.81	1.2
0000035402-25-002202	915512	C000254567	2.31	-.88	1.14
0001021882-25-000204	905823	C000080845	1.20549	-.43818	1.53561
0000035402-25-001446	906395	C000019273	1.71	-.28	1.29
0000035402-25-001335	906167	C000013938	8.7	4.9	.77
0001410368-25-032147	918043	C000117725	2.21	2	3.61
0000035402-25-001485	906456	C000249668	5.03	2.41	2.26
0001193125-25-334094	930798	C000135754	1.78035999	1.992172	1.04768
0001193125-25-334094	930802	C000164844	1.883193	2.037134	1.160075
0001193125-25-334094	930803	C000179961	1.92098399	2.02509799	1.154088
0001193125-25-334093	930811	C000078491	1.97105599	2.49062999	1.550353
0001193125-25-301809	921830	C000077669	3.83	-.18	3.81
0001193125-25-334091	931040	C000148406	1.752625	1.5377	.666566
0001410368-25-042035	927429	C000159956	.87	2.92	1.91
0001410368-25-040425	925474	C000002731	2.99	2.51	.95
0001410368-25-040424	925472	C000002734	5.04	2.55	.21
0001099263-25-004472	919516	C000118562	-.067273	1.664516	.22508
0001099263-25-004485	919902	C000064169	.130919	1.622647	.775023
0001193125-25-334199	931267	C000025727	2.21211499	1.88935899	.208441
0001193125-25-334199	931269	C000025730	2.133006	1.828368	.150512
0001193125-25-334199	931280	C000221715	2.233376	1.91981599	.222074
0001193125-25-334214	931457	C000023988	2.64930399	1.350572	-.54837999
0001193125-25-334214	931469	C000164804	2.679656	1.397813	-.51085899
0002071691-25-007741	919683	C000173566	2.598682	.506907	5.90959
0002071691-25-007741	919690	C000010798	2.564734	.497328	5.884858
0000035402-25-002946	929233	C000170033	1.11	5.32	3.64
0001193125-25-334203	931292	C000024465	2.55220799	1.45447	-.039792
0001193125-25-334203	931300	C000024475	2.596634	1.496197	.01404
0001193125-25-334098	930876	C000189466	2.003552	2.673118	1.666817
0001410368-25-043505	931678	C000119715	4.82	2.37	.68
0000035402-25-003052	929447	C000103373	7.12	3.14	1.83
0001193125-25-334932	931782	C000017063	1.197420939515	4.429611650485	4.86635676932
0001193125-25-334932	931785	C000189739	1.312260536398	4.528694336769	4.974674384949
0001410368-25-043401	931789	C000121568	3.27	3.74	-1.94
0001193125-25-334200	931428	C000026378	2.982433	4.20977999	2.863196
0001193125-25-334200	931434	C000026386	2.922022	4.16832499	2.821017
0001193125-25-334200	931437	C000068580	3.01712199	4.2492	2.91925599
0001193125-25-334200	931445	C000224598	3.02587799	4.25868	2.90823199
0001099263-25-004413	919246	C000026649	-.232591	1.501368	1.229311
0002071691-25-010101	932203	C000030895	4.475683	4.718231	.569378
0002071691-25-010101	932204	C000179766	4.472041	4.740149	.568334
0001193125-25-334136	931200	C000096496	1.889505	1.942904	1.461236
0001193125-25-334136	931205	C000096501	1.91026	1.961152	1.458868
0001193125-25-334136	931208	C000096505	1.88754	1.91156	1.435939
0001193125-25-334136	931219	C000224586	1.91244799	1.947464	1.460024
0002071691-25-007797	919892	C000010744	.298549	3.647995	1.289846
0000857489-25-000152	928232	C000015906	3.93534	2.27028717	.26246719
0000734383-25-000146	928284	C000008007	5.18444	3.64188163	5.14614174
0000898745-25-000869	927123	C000019315	.69	-1.44	-4.19
0000035402-25-002869	928780	C000254556	1.02	5.22	3.74
0000940400-25-014353	928082	C000141931	3.53	2.35	-.01
0001193125-25-293300	911516	C000025098	-.41000799	1.263934	.81037999
0001193125-25-293300	911527	C000068564	-.32992	1.347081	.89167499
0001193125-25-293300	911529	C000148420	-.385192	1.28899199	.83442499
0001193125-25-293300	911532	C000189457	-.33330399	1.343664	.887095
0001193125-25-251553	904724	C000026239	8.324426	.955486	2.10024
0001193125-25-251553	904731	C000026248	8.32559999	.967625	2.11405599
0001193125-25-251553	904739	C000224595	8.3537	.966932	2.120944
0001193125-25-251553	904740	C000224596	8.351472	.96606	2.135018
0001193125-25-251558	904818	C000148354	5.23074099	-.100972	2.34463999
0001193125-25-251558	904823	C000224629	5.27835499	-.04019599	2.408251
0000105544-25-000027	913891	C000012162	-.01607	2.12185	1.03005985
0000036405-25-000243	913997	C000007780	2.54324	4.08027	2.04189546
0000035402-25-001351	906206	C000254533	4.14	1.58	1.56
0001067839-25-000007	909372		2.376188	.90947	5.437264
0000777535-25-000042	917876	C000234671	.938427	1.95949	3.379057
0001193125-25-251557	904849	C000025147	1.06844	-.43436799	1.38537
0001193125-25-251557	904861	C000077900	1.23331599	-.42175199	1.475072
0001193125-25-251557	904862	C000148469	1.091366	-.40914699	1.40927699
0001193125-25-251557	904863	C000164803	1.221904	-.355186	1.382216
0001193125-25-251557	904865	C000189436	1.221904	-.434332	1.46235199
0001193125-25-251557	904866	C000189437	1.14461	-.34753	1.464896
0001193125-25-293305	911436	C000164818	.92721499	1.59377199	2.96647199
0001193125-25-293305	911437	C000180007	.92627	1.62221999	2.97741499
0001193125-25-293305	911440	C000224633	.954889	1.59281	2.980592
0001193125-25-293305	911441	C000224634	.92762599	1.619144	2.98831399
0001193125-25-293318	911573	C000026304	.40301	1.782264	2.899685
0001193125-25-293318	911574	C000026305	.43035199	1.8293	2.93394
0001193125-25-293318	911579	C000026311	.468368	1.858288	2.96367199
0001193125-25-293287	911542	C000164465	-.645511	1.62479599	.53949599
0001193125-25-293287	911553	C000189484	-.644825	1.62151999	.58723999
0001193125-25-293287	911555	C000224627	-.645052	1.623275	.603195
0001410368-25-019349	906709	C000156626	.69	.17	.95
0001410368-25-019349	906710	C000156628	.98	-.06	.98
0001003715-25-001337	913595	C000157147	-.25	1.43	1.09
0001099263-25-003601	915723	C000005453	3.34	.66	4.55
0001410368-25-022019	908871	C000263829		.34	1.07
0000894189-25-015336	916397	C000002164	-.17	1.18	1.07
0000777535-25-000037	916952	C000154476	1.210611	1.715586	3.496531
0001099263-25-003630	915712	C000005425	3.6	.62	3.5
0002071691-25-004164	907711	C000070638	1.55654	-.395932	1.261192
0002071691-25-004164	907712	C000009619	1.61635	-.330163	1.323715
0001193125-25-251548	904681	C000024006	6.35632399	2.40152299	1.01014799
0001193125-25-251548	904689	C000024016	6.41329999	2.42749199	1.064535
0002071691-25-007650	918539	C000202273	.690416	1.102618	.672993
0000794105-25-000139	914006	C000054350	.12909	1.54706	.39949217
0001410368-25-017052	903478	C000002265	2.25	-.75	3.69
0001193125-25-293282	911379	C000025058	1.789976	.998775	3.66466
0001193125-25-293282	911392	C000224624	1.82499799	1.018188	3.681024
0001193125-25-293324	911758	C000180011	-.26972799	3.22869199	.772892
0001193125-25-293324	911761	C000224599	-.28651599	3.22208	.763475
0000052848-25-000312	913993	C000055215	3.88903	.91171	4.91709563
0000794105-25-000137	913883	C000007057	-.23633	1.49692	.7094935
0000036405-25-000236	913916	C000007792	2.01845	1.54042	1.60716522
0001193125-25-251567	904893	C000025067	6.87098	1.941152	1.718628
0001193125-25-251567	904894	C000025068	6.88572199	1.98109999	1.73152999
0001193125-25-252339	905147	C000032902	3.02	.69	2.79
0001193125-25-252339	905148	C000032905	3.09	.8	2.85
0001193125-25-252339	905150	C000122670	3.1	.79	2.87
0000923202-25-000082	913936	C000012140	-1.69122	4.60599	2.87358073
0000036405-25-000235	913949	C000007805	2.27042	2.27288	3.45628087
0000036405-25-000235	913950	C000007806	2.27687	2.27903	3.46781118
0000036405-25-000235	913952	C000007808	2.27923	2.28311	3.46464235
0000794105-25-000140	913960	C000046843	-.08784	1.05971	.28001177
0000889519-25-000042	914065	C000007055	1.3245	1.84195	2.54274979
0001193125-25-293319	911613	C000026328	-1.41847499	3.796672	3.77406399
0001193125-25-293319	911618	C000026333	-1.404846	3.830696	3.803173
0001193125-25-293319	911626	C000077411	-1.400097	3.842551	3.796505
0001193125-25-293319	911631	C000189495	-1.418058	3.842551	3.78042
0002071691-25-006423	911726	C000066417	3.1854311	1.0574775	5.0079492
0000752177-25-000263	914039	C000034438	.31972	1.69972	1.74094707
0001193125-25-293283	911478	C000026225	1.962068	1.848785	2.24167299
0001193125-25-293283	911481	C000068572	2.049262	1.93339699	2.331702
0001193125-25-293283	911487	C000189431	2.064846	1.92776599	2.335638
0000940400-25-010634	915590	C000037620	-.29	1.42	1.01
0000035402-25-002272	915696	C000021009	3.01	.82	2.77
0002071691-25-003725	905684	C000012090	2.649504	-1.048409	-.091935
0000035402-25-001446	906397	C000019276	1.72	-.18	1.19
0000052848-25-000264	905785	C000012211	6.94911	3.29364	.31356
0000105563-25-000099	905896	C000012164	4.0229	1.57591	1.57669
0001099263-25-001808	906051	C000244822	2.86	.48	2.18
0000036405-25-000244	913983	C000007786	3.75861	.84627	4.71211637
0000777535-25-000040	917785	C000154479	3.517942	.683014	4.149748
0000777535-25-000040	917786	C000154480	3.526294	.690974	4.157167
0001410368-25-032147	918042	C000117728	2.23	2.01	3.63
0001193125-25-299124	918260	C000235737	-.08	1.27	1.32
0000035402-25-001386	906309	C000103355	5.4	2.55	4.07
0002071691-25-007832	920518	C000238582	-2.5	1.94	2.23
0001193125-25-334094	930796	C000042410	1.90350799	2.05341	1.144406
0001193125-25-334093	930805	C000042411	1.94402299	2.469944	1.5224
0001193125-25-334093	930816	C000164845	1.95040699	2.519781	1.526445
0001193125-25-334095	930838	C000082213	1.992905	2.708872	1.869656
0001193125-25-334095	930841	C000082216	2.03436799	2.79353999	1.8773
0001193125-25-301809	921834	C000083517	3.85	-.17	3.83
0001532203-25-000066	928221	C000109502	.05381	.58711864	1.03208375
0001193125-25-334091	931031	C000042394	1.754968	1.53882399	.66737999
0001193125-25-334091	931038	C000135747	1.855421	1.577868	.71750499
0001193125-25-334091	931043	C000189462	1.83425	1.560608	.76890999
0001410368-25-040419	925467	C000002730	2.71	2.6	1.3
0001099263-25-004472	919514	C000118565	-.093797	1.64043	.200425
0001099263-25-004472	919515	C000118566	-.156791	1.571613	.14187
0001193125-25-301782	921664	C000077653	1.26	1.15	2.3
0001410368-25-038298	924000	C000175543	2.72	.44	-.53
0001410368-25-038298	924001	C000175544	2.73	.4	-.53
0001410368-25-038298	924004	C000201705	2.72	.44	-.57
0001193125-25-334199	931272	C000068526	2.21895499	1.90319299	.221708
0001193125-25-334202	931243	C000024461	1.660688	2.278766	-.32432699
0001193125-25-334202	931251	C000186125	1.710795	2.32548199	-.287563
0001193125-25-334202	931254	C000190068	1.71420699	2.330012	-.288606
0001193125-25-334214	931459	C000023990	2.67427699	1.390558	-.472339
0001193125-25-334214	931465	C000023998	2.683581	1.39490199	-.512472
0002071691-25-007741	919686	C000010800	2.524424	.456006	5.845982
0002071691-25-007741	919689	C000173565	2.571845	.494328	5.892789
0000035402-25-002966	929140	C000254551	1.25	5.74	5.31
0001193125-25-334203	931309	C000224565	2.63592799	1.54466399	.05358999
0000107606-25-000043	928193	C000012181	3.45942	2.29087122	.79176563
0000857489-25-000151	928258	C000043573	4.14535	3.7213803	1.6903409
0001193125-25-334098	930867	C000042421	2.011464	2.643944	1.676021
0001193125-25-334098	930869	C000078492	2.03217	2.656156	1.73713999
0001193125-25-334098	930873	C000148410	1.97011999	2.61693799	1.63232
0000857489-25-000149	928227	C000035633	2.96958	5.71373811	1.42666072
0001193125-25-334200	931436	C000026388	3.01699999	4.24009399	2.902781
0001193125-25-334200	931440	C000164813	3.013025	4.25470999	2.91663999
0001099263-25-004413	919241	C000026644	-.203956	1.531421	1.25651
0001099263-25-004413	919247	C000026643	-.182851	1.553517	1.276582
0001099263-25-004484	919600	C000026514	.406854	1.263525	.524272
0000035402-25-003068	929382	C000204614	2.27	3.46	2.19
0001193125-25-334136	931216	C000189482	1.889774	1.93335999	1.464056
0002071691-25-007797	919885	C000109963	.33373	3.688673	1.340477
0002071691-25-007797	919887	C000010743	.312007	3.66723	1.319574
0002071691-25-007782	919961	C000070617	3.494368	1.251985	3.446939
0000898745-25-000869	927121	C000019313	.69	-1.46	-4.17
0000898745-25-000869	927122	C000019312	.64	-1.46	-4.24
0000035402-25-002869	928774	C000254558	1	5.2	3.72
0000913181-25-000365	923313	C000152106	-.146148	1.391302	1.121215
0001193125-25-293300	911521	C000025104	-.41113599	1.262795	.81037999
0001193125-25-293300	911522	C000025105	-.351352	1.32202299	.86762999
0001193125-25-293300	911524	C000025108	-.41564799	1.258239	.80579999
0001193125-25-293300	911530	C000164823	-.32992	1.343664	.88824
0002071691-25-006469	911926	C000128832	1.538416	2.1218324	1.213256
0002071691-25-006469	911928	C000018535	1.4960968	2.0740751	1.1655602
0001193125-25-251553	904721	C000026236	8.259592	.884003	2.02734499
0001193125-25-251553	904734	C000148459	8.273584	.91150999	2.058484
0001193125-25-251553	904736	C000179981	8.358482	.97415399	2.134412
0001193125-25-251553	904737	C000189496	8.32842699	.97812799	2.11604199
0001193125-25-251558	904807	C000024480	5.229124	-.07362799	2.35270399
0001193125-25-251558	904810	C000024484	5.19564299	-.113841	2.322584
0001193125-25-251558	904817	C000077915	5.29257699	-.02613299	2.40776
0001193125-25-251558	904824	C000224630	5.29850799	-.039898	2.423294
0000036405-25-000237	913905	C000007801	2.00448	3.79209	1.69625243
0002071691-25-004187	907747	C000172198	.499891	.308218	.531098
0001193125-25-293559	912419	C000023929	.49795999	1.565048	2.59339999
0001193125-25-293564	912471	C000176243	2.76553099	1.24677999	2.75206399
0001193125-25-293563	912444	C000121507	2.203944	1.198433	3.87564499
0001410368-25-032201	918146	C000101834	2.22	2.1	3.45
0001193125-25-251557	904848	C000025146	1.200348	-.376589	1.35932
0001193125-25-251557	904854	C000025153	1.144538	-.514752	1.38283
0001193125-25-251557	904858	C000025158	1.1864	-.39169699	1.344056
0001193125-25-251557	904860	C000068597	1.22444	-.353927	1.383488
0002071691-25-003685	905043	C000006439	6.7	3.53	-.85
0002071691-25-003685	905047	C000006431	6.78	3.62	-.76
0000035402-25-002150	914457	C000179007	.48	1.97	2.66
0000752177-25-000262	914646	C000007077	.80173	2.69195	3.09800417
0000035402-25-002146	914695	C000179009	.88	2.22	3.34
0001193125-25-293305	911426	C000023942	.951562	1.58904799	2.982077
0001193125-25-293305	911427	C000023944	.853472	1.524875	2.896717
0001193125-25-293305	911428	C000023945	.89993	1.596794	2.939473
0001193125-25-293318	911572	C000026303	.40980299	1.778369	2.89495999
0001193125-25-293318	911577	C000026309	.40301	1.797632	2.90115199
0001193125-25-293318	911583	C000068573	.48579199	1.858252	2.99563899
0001193125-25-293318	911587	C000180004	.49912999	1.880045	2.98914399
0001193125-25-293287	911551	C000164476	-.645511	1.62479599	.63685499
0001410368-25-019349	906707	C000054893	.67	.15	.92
0002071691-25-006501	911994	C000018329	.0394374	2.9593812	.855648
0001099263-25-003601	915724	C000005454	3.32	.64	4.53
0001099263-25-003601	915726	C000159680	3.36	.67	4.56
0001099263-25-003640	915853	C000005516	-.26	3.09	.76
0001099263-25-003640	915854	C000159681	-.23	3.11	.78
0001410368-25-022019	908870	C000218401	-.38	1.34	1.15
0001410368-25-022019	908873	C000003066	-.39	1.33	1.14
0000052848-25-000256	905751	C000012229	4.09605	-3.25645	3.95337
0001021882-25-000208	905866	C000080852	.93609	.12696	1.08318
0001193125-25-251548	904686	C000024012	6.39509999	2.417245	1.034027
0000036405-25-000241	913948	C000007790	2.32672	1.92795	3.74970562
0001410368-25-017052	903481	C000002264	2.23	-.74	3.7
0001410368-25-017052	903484	C000002260	2.31	-.64	3.77
0001193125-25-293282	911376	C000025054	1.777547	1.00243999	3.66844799
0001193125-25-293282	911384	C000068558	1.810304	1.014292	3.68157799
0001193125-25-293324	911747	C000026254	-.29144599	3.23488399	.76809599
0001193125-25-293324	911750	C000026258	-.30858999	3.1946	.75176
0001193125-25-293324	911755	C000077882	-.277712	3.22018999	.78691
0001193125-25-293324	911757	C000164808	-.3004	3.23014	.75901099
0001193125-25-293324	911762	C000224600	-.273345	3.22373499	.77259499
0001021882-25-000198	905847	C000092014	6.37064	3.77151	1.1115
0000752177-25-000257	913971	C000007072	.21898	1.60233	1.56598045
0001193125-25-251567	904904	C000148456	6.855308	1.9342	1.697164
0001193125-25-251567	904906	C000180003	6.921971	2.002108	1.76576799
0001193125-25-251567	904910	C000224556	6.921272	1.98608	1.77291499
0001193125-25-251567	904890	C000025064	6.90931999	1.97919499	1.730512
0001193125-25-252339	905151	C000122671	3.07	.81	2.87
0000923202-25-000082	913939	C000135477	-1.70791	4.64539	2.86604043
0000794105-25-000140	913961	C000105310	-.05815	1.11417	.22585582
0000836906-25-000266	914146	C000118817	.32038	1.27745	-.04887662
0001193125-25-293319	911623	C000026340	-1.44739	3.78367999	3.74615
0000794105-25-000138	914017	C000081425	-.28718	1.16741	1.04787104
0001193125-25-293283	911469	C000026214	2.03239199	1.91714899	2.310047
0001193125-25-293283	911473	C000026218	2.02899199	1.924565	2.307315
0001193125-25-293283	911482	C000077857	2.052002	1.94333699	2.3376
0001410368-25-017036	903375	C000006930	3.01	-1.01	2.79
0001410368-25-017036	903381	C000006925	3.08	-.93	2.91
0000035402-25-002272	915695	C000021007	3.03	.83	2.78
0000035402-25-001446	906396	C000150510	1.75	-.15	1.22
0000940400-25-010641	915717	C000012041	3.41	.81	5.28
0001099263-25-001808	906049	C000005494	2.82	.45	2.18
0001099263-25-001808	906050	C000005495	2.79	.41	2.14
0000035402-25-001335	906166	C000013936	8.76	4.97	.83
0000035402-25-001335	906168	C000013939	8.74	4.94	.81
0001099263-25-003615	916309	C000166317	2.34	.42	1.24
0000777535-25-000040	917787	C000154481	3.53014	.694577	4.160558
0001410368-25-032026	917888	C000047963	.36	.38	.33
0001410368-25-032147	918044	C000011979	2.24	2.02	3.65
0002071691-25-007667	918663	C000202266	.187434	1.208535	.872146
0000035402-25-001440	906393	C000103359	5.12	2.28	2.27
0002071691-25-007832	920520	C000006994	-2.49	1.96	2.23
0001410368-25-032903	922762	C000018458	.24	1.79	.92
0001410368-25-032903	922765	C000158207	.25	1.65	1.07
0001410368-25-032903	922761	C000158205	.22	1.76	1.04
0001410368-25-032903	922770	C000052178	.19	1.73	.87
0001410368-25-032903	922771	C000018454	.22	1.76	.9
0001193125-25-334090	930777	C000042399	1.86998199	1.83650599	.92768
0001193125-25-334090	930779	C000042401	1.76231199	1.78695999	.90332699
0001193125-25-334090	930780	C000042402	1.78947799	1.810176	.94093
0001193125-25-334090	930781	C000042403	1.819766	1.83971199	.980456
0001193125-25-334090	930784	C000135750	1.75679	1.77911899	.90057599
0001193125-25-334090	930787	C000148407	1.74898999	1.82657599	.897359
0001193125-25-334090	930789	C000179960	1.810176	1.882348	.97594499
