HOLDING_ID	RATE_RESET_TENOR_ID	RECEIPT_OR_PAYMENT	RESET_DATE	RESET_DATE_UNIT	RATE_TENOR	RATE_TENOR_UNIT
159181819	1490901	REC	Day	1	Month	0
159178856	1490392	REC	Day	1	Month	0
159291799	1494324	REC	Month	6	Month	6
159285214	1494054	PMNT	Month	6	Month	6
160386651	1513276	PMNT	Month	1	Day	304
159367616	1498439	REC	Day	1	Day	1
159370013	1498607	REC	Day	1	Day	1
159373673	1498723	PMNT	Day	1	Day	1
159446194	1502691	REC	Day	0	Day	0
159442383	1502470	REC	Day	1	Day	1
159436477	1502295	REC	Day	1	Day	1
159431311	1502057	REC	Day	1	Day	1
159438618	1502331	PMNT	Month	3	Month	3
159446194	1502692	PMNT	Month	3	Day	1
159444892	1502616	PMNT	Day	1	Day	1
159444112	1502574	PMNT	Day	1	Day	1
159427398	1501954	PMNT	Month	3	Month	3
159443499	1502531	PMNT	Day	1	Day	1
159448067	1502807	PMNT	Day	1	Day	1
159442871	1502495	PMNT	Day	1	Day	1
159272984	1493670	REC	Day	1	Day	1
159275401	1493794	PMNT	Month	6	Month	6
158243475	1481348	PMNT	Day	1	Day	11136
159128720	1486555	REC	Month	0	Month	0
159128720	1486556	PMNT	Day	1	Month	3
159183666	1491108	PMNT	Day	1	Month	0
159184505	1491162	PMNT	Day	1	Month	0
159182803	1491027	PMNT	Day	1	Month	12
159186129	1491316	PMNT	Day	1	Month	12
159175849	1489798	PMNT	Day	1	Month	0
159175087	1489652	PMNT	Day	1	Month	0
159180496	1490661	PMNT	Day	1	Month	0
159186308	1491337	PMNT	Day	1	Month	3
159182404	1490987	PMNT	Month	1	Month	0
159180829	1490726	PMNT	Day	1	Month	0
157824162	1473866	PMNT	Month	1	Month	1
159304513	1494914	PMNT	Day	1	Day	1
159184160	1491143	REC	Day	1	Month	12
159174920	1489628	REC	Day	1	Month	0
159172380	1489187	REC	Day	1	Month	0
159182094	1490949	REC	Day	1	Month	0
159176779	1490001	REC	Day	1	Month	12
159181021	1490761	REC	Day	1	Month	0
159164276	1487923	REC	Month	1	Month	0
159170741	1488874	REC	Day	1	Month	12
159172271	1489166	REC	Day	1	Month	0
159171342	1488986	REC	Day	1	Month	0
159301303	1494819	REC	Day	1	Day	1
159286011	1494078	PMNT	Month	6	Month	6
159299224	1494724	PMNT	Month	3	Month	3
159370816	1498644	REC	Day	1	Day	1
159370916	1498648	REC	Day	1	Day	1
159437319	1502311	REC	Day	1	Day	1
159429580	1502010	REC	Day	1	Day	1
159439604	1502363	PMNT	Day	1	Day	1
159439669	1502367	PMNT	Day	1	Day	1
159443429	1502526	PMNT	Day	1	Day	1
159440823	1502417	PMNT	Day	1	Day	1
159440932	1502422	PMNT	Day	1	Day	1
159445777	1502669	PMNT	Day	1	Day	1
159271933	1493621	REC	Day	1	Day	1
159276078	1493825	PMNT	Month	6	Month	6
158243513	1481352	REC	Day	1	Day	2007
158243385	1481337	PMNT	Month	6	Day	6620
158497804	1481847	REC	Day	1	Day	0
158506209	1481888	REC	Day	0	Day	0
159182759	1491023	PMNT	Month	1	Month	0
159176743	1489991	PMNT	Day	1	Month	0
159187253	1491483	PMNT	Day	1	Month	0
159164424	1487939	PMNT	Day	1	Month	12
159181710	1490878	PMNT	Day	1	Month	0
159167329	1488372	PMNT	Month	3	Month	3
159160297	1487527	PMNT	Day	1	Month	0
159185484	1491222	PMNT	Day	1	Month	12
159180330	1490639	PMNT	Day	1	Month	0
159169252	1488615	PMNT	Day	1	Month	0
159183549	1491098	PMNT	Day	1	Month	0
159185568	1491229	PMNT	Month	6	Month	6
157825499	1473880	PMNT	Month	1	Month	1
159180868	1490732	REC	Month	1	Month	0
159171879	1489100	REC	Day	1	Month	12
159188589	1491722	REC	Day	1	Month	0
159189496	1491851	REC	Month	1	Month	0
159176900	1490026	REC	Day	1	Month	0
159166853	1488270	REC	Day	1	Month	0
159296439	1494554	REC	Day	1	Day	1
159298950	1494706	REC	Day	1	Day	1
159303226	1494900	PMNT	Month	6	Month	6
159367785	1498458	REC	Day	1	Day	1
159370253	1498618	PMNT	Day	1	Day	1
159446801	1502732	REC	Day	1	Day	1
159426146	1501874	REC	Day	1	Day	1
159431131	1502051	REC	Day	1	Day	1
159441838	1502451	REC	Day	1	Day	1
159428462	1501975	PMNT	Day	1	Day	1
159433302	1502128	PMNT	Month	6	Month	6
159440706	1502413	PMNT	Month	3	Month	3
159268818	1493486	REC	Day	1	Day	1
158243219	1481311	REC	Day	9634	Day	9634
158496793	1481843	PMNT	Day	1	Year	1
158359282	1481660	PMNT	Month	12	Month	12
159184004	1491135	PMNT	Day	1	Month	0
159179585	1490516	PMNT	Month	1	Month	0
159183527	1491096	PMNT	Day	1	Month	0
159170150	1488752	PMNT	Day	1	Month	0
159181797	1490896	PMNT	Day	1	Month	0
159182385	1490983	PMNT	Day	1	Month	0
159182235	1490968	PMNT	Day	1	Month	0
159189805	1491910	PMNT	Day	1	Month	0
159169975	1488725	PMNT	Day	1	Month	0
157818724	1473855	PMNT	Month	1	Month	1
159176366	1489908	REC	Day	1	Month	0
159182439	1490994	REC	Month	6	Month	6
159181132	1490786	REC	Day	7	Month	3
159169713	1488684	REC	Day	1	Month	0
159170036	1488736	REC	Day	1	Month	12
159189728	1491897	REC	Day	1	Month	0
159187209	1491474	REC	Month	6	Month	6
159165521	1488067	REC	Day	1	Month	12
159185656	1491238	REC	Month	1	Month	0
159178741	1490372	REC	Month	3	Month	3
159167163	1488334	REC	Day	1	Month	0
159182415	1490989	REC	Day	1	Month	3
159290440	1494263	PMNT	Month	6	Month	6
159376294	1498816	REC	Day	1	Day	1
159367378	1498417	PMNT	Day	1	Day	1
159434377	1502173	REC	Day	1	Day	1
159422359	1501694	REC	Day	1	Day	1
159431331	1502058	REC	Month	6	Month	6
159433208	1502122	REC	Day	1	Day	1
159423258	1501722	REC	Month	6	Month	6
159422978	1501713	PMNT	Day	1	Day	1
159434560	1502187	PMNT	Month	1	Month	1
159439182	1502343	PMNT	Day	1	Day	1
159439814	1502376	PMNT	Day	1	Day	1
159270654	1493552	REC	Day	1	Day	1
159271199	1493587	REC	Day	1	Day	1
159273851	1493722	REC	Day	1	Day	1
159274755	1493768	REC	Day	1	Day	1
159274962	1493777	REC	Day	1	Day	1
158499020	1481855	REC	Day	0	Day	0
158496721	1481842	REC	Day	1	Day	0
158502241	1481863	REC	Day	1	Day	0
158496634	1481841	PMNT	Day	0	Day	0
159131215	1486678	REC	Month	0	Month	0
159131215	1486679	PMNT	Day	1	Month	3
159181656	1490867	PMNT	Day	7	Month	3
159176772	1489999	PMNT	Day	1	Month	12
159187492	1491526	PMNT	Day	1	Month	0
159184346	1491154	PMNT	Day	1	Month	12
159164073	1487900	PMNT	Day	1	Month	0
159181848	1490906	PMNT	Day	1	Month	0
157818861	1473856	PMNT	Month	1	Month	1
159182577	1491005	REC	Day	1	Month	0
159189021	1491788	REC	Day	1	Month	12
159179690	1490536	REC	Day	1	Month	0
159171471	1489013	REC	Day	1	Month	0
159178432	1490317	REC	Day	1	Month	0
159183030	1491045	REC	Day	1	Month	0
159375876	1498796	REC	Day	1	Day	1
159369976	1498604	REC	Day	1	Day	1
159369414	1498573	REC	Day	1	Day	1
159372641	1498697	PMNT	Day	1	Day	1
159372652	1498698	PMNT	Day	1	Day	1
159437629	1502319	REC	Day	1	Day	1
159447671	1502786	REC	Day	1	Day	1
159431590	1502066	REC	Day	1	Day	1
159434597	1502190	REC	Day	1	Day	1
159445520	1502652	REC	Day	1	Day	1
159439239	1502345	PMNT	Day	1	Day	1
159443059	1502500	PMNT	Day	1	Day	1
159425585	1501826	PMNT	Month	3	Month	3
159441023	1502426	PMNT	Day	1	Day	1
160884831	1516604	PMNT	Day	1	Year	4
160533759	1513677	REC	Day	1	Month	12
159383890	1499338	REC	Day	1	Day	1
159386949	1499593	REC	Day	1	Day	1
159388594	1499724	PMNT	Month	3	Month	3
159383943	1499345	PMNT	Day	1	Day	1
159387140	1499609	PMNT	Day	1	Day	1
159386758	1499572	PMNT	Month	1	Month	1
159390342	1499849	PMNT	Day	1	Day	1
161051283	1520683	PMNT	Month	1	Day	1
161062475	1523206	PMNT	Month	1	Day	1
161048791	1520063	REC	Month	1	Day	1
161063921	1523598	REC	Month	1	Day	1
161050136	1520319	REC	Month	1	Day	1
161047214	1519765	REC	Month	1	Day	1
161045924	1519458	REC	Month	1	Day	1
161046125	1519525	REC	Month	1	Day	1
161054964	1521584	REC	Month	1	Day	1
161059521	1522468	REC	Month	1	Day	1
161064906	1523765	REC	Month	1	Day	1
161055063	1521617	REC	Month	1	Day	1
161044797	1519090	REC	Month	1	Day	1
161067108	1524443	REC	Month	1	Day	1
161054053	1521398	REC	Month	1	Day	1
161057654	1522183	REC	Month	1	Day	1
161049336	1520181	REC	Month	1	Day	1
161054846	1521547	REC	Month	1	Day	1
161066695	1524329	REC	Month	1	Day	1
161061517	1522893	REC	Month	1	Day	1
161058328	1522295	REC	Month	1	Day	1
161065096	1523809	REC	Month	1	Day	1
161068481	1524688	REC	Month	1	Day	1
161052358	1521002	REC	Month	1	Day	1
161050035	1520290	REC	Month	1	Day	1
161066797	1524363	REC	Month	1	Day	1
161053365	1521259	REC	Month	1	Day	1
161041994	1518613	REC	Month	1	Day	1
161050811	1520544	REC	Month	1	Day	1
161047503	1519854	REC	Month	1	Day	1
161053281	1521231	REC	Month	1	Day	1
161052163	1520937	REC	Month	1	Day	1
161053176	1521196	REC	Month	1	Day	1
161047467	1519842	REC	Month	1	Day	1
161068040	1524629	REC	Month	1	Day	1
161056218	1521958	REC	Month	1	Day	1
161053437	1521283	REC	Month	1	Day	1
161058261	1522286	REC	Month	1	Day	1
161056206	1521954	REC	Month	1	Day	1
161067622	1524570	REC	Month	1	Day	1
161065626	1523979	REC	Month	1	Day	1
161053458	1521290	REC	Month	1	Day	1
161068351	1524671	REC	Month	1	Day	1
161053215	1521209	REC	Month	1	Day	1
161062088	1523077	REC	Month	1	Day	1
161055672	1521785	REC	Month	1	Day	1
161051796	1520842	REC	Month	1	Day	1
161051906	1520869	REC	Month	1	Day	1
161058997	1522408	REC	Month	1	Day	1
161058407	1522310	REC	Month	1	Day	1
161054636	1521508	REC	Month	1	Day	1
161064365	1523658	REC	Month	1	Day	1
